start	end	text
0	8000	Until recently, UFOs have been seen as anomalous craft operating in deep space, near Earth orbit,
8000	12360	within Earth's atmosphere, and occasionally, whether purposefully or due to a mysterious
12360	15480	crash, touching our planet's surface.
15480	20120	But a fascinating aspect of the trans-medium capabilities of these craft has long been
20120	21560	forgotten.
21560	25480	Until Commander David Fraver's sighting of the tic-tac, which seemingly communicated
25480	30600	with something churning under the water's surface, military footage showing UAP entering
30600	36840	or leaving Earth's waters, in the incredible efforts of Rear Admiral Timothy Gallaudet.
36840	41320	What's up guys, it's UAPGurb, and today I want to cover the history and some famous
41320	48520	historical sightings of one of the most overlooked aspects of the phenomenon, undersea UFOs,
48520	51600	or unidentified submerged objects.
51600	56640	The idea UFOs are not only operating in our skies, but also the most unexplored regions
56640	60360	of our planet is both profound and somewhat disturbing.
60360	64600	So let's not waste time, let's get right into it.
64600	71400	Shockingly, the study of USOs is not a recent undertaking.
71400	77800	In fact, we can head all the way back to the early days of Project Blue Book in 1951.
77800	83280	USAF Major Dewey Fernet, Blue Book member, undertook one project interloper with the
83280	85360	aid of the US Navy.
85360	91040	The goal of this project was to investigate both aerial and undersea UAP.
91040	95400	Regardless of serving as a sitting Blue Book member, Fernet's operation interloper was
95400	101600	curiously an extra governmental investigation, meaning it was exempt from all Freedom of Information
101600	103440	Act requests.
103440	107880	Whether this was directed by USG Elements or not, I'm not quite sure.
107880	113360	However, in 1953, interloper briefed the CIA, but the project's findings never reached
113360	115440	Congress or the American people.
115440	122760	Today, only three case files remain from Fernet's project, cases 26, 27, and 28.
122760	128440	Case 26 covers US Navy Lieutenant George P. Williams, who alongside with his nine-man
128440	134720	crew in their Navy Fleet Logistics Air Wing plane, observed a trans-medium UFO depart
134720	140040	the ocean and traverse the skies between Kefalvik, Iceland, and Newfoundland.
140040	144520	The object, initially mistaken for a ship, rose from beneath the clouds and approached
144520	148640	the Navy aircraft at a, quote, terrifying closing rate.
148640	153720	The object hovered near the air wing's port site before disappearing at alarming speeds.
153720	159280	The object was described as elliptical or cigar-shaped, measuring a minimum of 200 feet
159280	162920	with a red-orange glow along the periphery.
162920	168320	The other two surviving cases do not fit our investigation today, but still check this out.
168320	173600	Case 27 highlights the experience of a South African Airways constellation craft en route
173600	176160	from London to Johannesburg.
176160	180960	Near the Kenya border, the airplane crossed over the crater of a long-extinct volcano where
180960	185960	the pilots noticed a silvery disk stationed deep within the crater.
185960	191840	The disk took off at a high rate of speed straight up and out of sight of the craft.
191840	197200	Next we can look at the 24th of April, 1952, where the Air Force Technical Intelligence
197200	206220	Center is written by AFOIN-XSG, regarding the possible connection of submarine contacts.
206220	211220	This letter addressed to one Colonel Dunn attaches nine reports of submarine contacts
211220	217260	with UFOs, specifically flying disks, with the assistance of ONI, the Office of Naval
217260	218260	Intelligence.
218260	223860	Unfortunately, these reports are unavailable, but what is interesting are the Navy UFO sightings
223860	226260	listed in the 1950s.
226260	232260	This information is relayed in Timothy Goode's book, Need to Know, UFOs, the Military and
232260	233260	Intelligence.
233300	237340	This information is supplied by respected ufologist Leonard Stringfield, who I covered
237340	239820	in the Kingman Air of Zona Crash.
239820	246540	Stringfield was informed of thousands of ONI UAP reports from 1952 to 1956.
246540	252340	But I skipped over this mysterious sender of the nine reports, AFOIN-XSG.
252340	259100	AFOIN is the Air Force Office of Intelligence, and we can assume that this SG is a special
259100	260100	group.
260100	265860	Curiously, we can look back to Edward J. Ruppel, a man I have talked about extensively, who
265860	269460	served as director of Project Grudge and Blue Book.
269460	274820	Ruppel stated that AFOIN was conducting a more complete investigation of UFOs parallel
274820	278700	to Blue Book in the later uncovered Battelle's Project Stork.
278700	284900	Ruppel stated AFOIN's technical capabilities branch and collection control branch were specific
284900	287820	offices doing UFO related work.
287820	292220	Was this Air Force special group tasked with investigating the nine USO reports one of
292220	296180	the US government's real secret UFO investigation groups?
296180	297820	To me, it appears likely.
297820	303580	In 1979, Kufan, the computer UFO network, filed FOIA requests for information on the
303580	305660	mysterious special group.
305660	311380	All requests were denied under executive order, citing the national security need to maintain
311380	312780	classification.
312780	316740	The trail here in the 1950s goes much deeper as well.
316740	324100	In 1954, JANAP, the Joint Army Navy Air Force Publication, published Directive 146C, where
324100	330740	both Airborne and Waterborne UFO were to be reported under service, communication instructions
330740	334180	for reporting vital intelligence sightings, and Merrant.
334180	337380	I'm guessing this means maritime intelligence.
337380	342100	This meant both civilians and pilots were prohibited from discussing officially reported
342100	343100	sightings.
343100	348940	As service and Merrant sightings were subject to the Communications Act of 1934 and espionage
348940	354740	laws, violators would receive a prison sentence and a $10,000 fine.
354740	358340	And if you've watched a single one of my videos, you probably know I talk often about
358340	361420	USAF Regulation 200-2.
361420	365940	So I expect everybody knows that by heart, but if you don't, this regulation restricted
365940	369980	all official UFO reporting to be sent to ATIC and not Blue Book.
370380	377940	Well, in that same year, 1954, January 23rd, to be precise, the US Navy issued OPNAV, the
377940	384500	Office of the Chief of Naval Operations, Directive 3820, which required UAP sightings referenced
384500	390620	as flying object reports, to be sent to the Director of ATIC, the Director of USAF Intelligence,
390620	392980	and the Director of Naval Intelligence.
392980	397180	This report, which we can find a copy of in Donald Keyho's book, The Flying Saucer
397180	401500	Conspiracy, directly cites JANAP-146C.
401500	409940	With the implementation of 1953's USAF Regulation 200-2, OPNAV Directive 3820, and JANAP-146C,
409940	415460	we enter the slow descent into the dark ages of UFO reporting, starting with explanations
415460	417740	of swamp gas and weather balloons.
417740	422820	So our paper trail here becomes relatively sparse, and we have to start to rely on claims
422820	429780	of USO studies and experiences.
429780	435260	We must travel all the way to 1985, where ufologist Jacques Vallée claims in Forbidden
435260	441260	Science Pacific Heights, a collection of his personal journals, that a source at NARCAP,
441260	445980	the National Aviation Reporting Center on anomalous phenomena, told him that a large
445980	451540	collection of UFO and USO files were being stored at Norton Air Force Base.
451660	457300	Norton has historically been associated with UAP or NHI research, such as being named by
457300	463420	Stephen Greer and the disclosure project in his alleged briefing to Congress in 1996.
463420	467980	But let's move on to a really curious rabbit hole from 2017.
467980	473700	Of course, with an absence of official documentation, this story should be taken with some skepticism.
473700	477180	But let's tackle the claims by astronomer Mark Dantonio.
477180	482500	With Dantonio, president of FX Models, a company with naval contracts was taken for a ride
482500	487140	in a naval submarine as a thank you for his company's contract work.
