start	end	text
0	6560	In March of 2024, the Infographics show, a popular and excellent channel with custom animations
6560	13200	and fantastic storytelling posted a video titled, US Special Forces Confession, I Recovered Crash
13200	19920	UFOs. Although the channel has covered the UAP subject in the past, this entry stood out entirely.
20480	25840	The video covers the testimony of an individual who encountered a crashed UAP while serving in
25840	32480	Vietnam. With engaging storytelling and mesmerizing animations, the Infographics team highlights how
32480	39120	this sighting saw the soldier read into covert UAP operations and details his work on the program.
39680	44560	Astonishing details of UAP crash retrieval and reverse engineering are highlighted in this
44560	49520	account very similar to the claims of David Grush. I'm sure many people saw this video,
49520	55440	enjoyed it, and moved on. Just as many watched it and thought, huh, I wonder if this is real.
55440	60480	But the narrator starts this video with a statement that almost forces us to analyze the
60480	66720	entire video line by line. Note, the following is based on testimony provided over a series of
66720	72160	interviews and written correspondence, edited and cut together in an attempt to create a cohesive
72160	78000	timeline of the events as described. Do these events recount the experience of a real anonymous
78000	84240	whistleblower? Is this story rooted in fact, and are there elements we can verify? And why did he
84240	90240	speak to the Infographics show? Hey guys, it's UAP Gerb, and thank you for joining me as we conduct
90240	96480	a full breakdown and analysis of the Infographics show's US Special Forces Confession, I Recovered
96480	102640	UFOs. Since its release, I have played this testimony over and over and over in my head.
102640	107760	Is it possible that these events and details recount the true testimony of someone on a UFO
107760	113360	crash retrieval program? I think it is well worth investigating their story. Searching for holes or
113440	119600	confirmable elements, because this could very well be the most crucial first-hand whistleblower of all time.
125040	129920	To start, our witness states, and I will be calling him our witness for the duration of this video,
129920	136480	that our story begins in 1968, during the Vietnam conflict along the Vietnam-Kimbodia border.
136480	142480	Before we get into his story, we do have two interesting Vietnam cases that may be contextually
142480	147360	relevant to our Infographics whistleblower. We can check in on the ever-relevant Stephen
147360	152560	Greer redacted witness log to analyze the statements and emails of witness 10622.
153120	160880	10622 served as CTR Communication Technician Radio in the US Navy from 1966 to 1970,
160880	166880	on the Bonhomme Richard aircraft carrier. It was in June of 1968 on official duties,
166960	172880	he received scrambled messages mentioning at least 11 UAP were tracked on visual and radar.
173680	179680	And on September 9, 1968, several US helicopter pilots and soldiers stationed at a Marine Corps
179680	185600	base in Dong Ha, Vietnam had a close encounter with a fast-moving object. This object had green
185600	191760	and white lights and engaged in maneuvers for 20 minutes. Anyways, our witness states his US military
191760	197440	unit was performing an LRRP, a long-range reconnaissance patrol tracking supply routes into
197440	203760	South Vietnam from Cambodia, as well as marking out sites for a B-52 bombing raid the following year.
203760	209120	This tiny snippet in the video gives us so much to unpack. The following year of 1969,
209120	215760	a covert bombing raid did in fact occur. On March 18, 1969, the Strategic Air Command commenced
215760	222400	Operation Menu, not declassified until 2000 by President Bill Clinton. Operation Menu was a year
222400	229680	long B-52 bombing campaign that ravaged Eastern Cambodia, and that mention LRRP may be one of
229680	235120	the most significant pieces to solving this puzzle. Long-range reconnaissance patrol was a special
235120	241200	unit acting in Vietnam, Company E 52nd Infantry, attached to the 1st Calvary Division in the
241200	249200	US Army. This unit operated in Vietnam from 1967 to 1969, well within the time frame of our witness
249200	255840	and participated in two of the largest battles of Vietnam, the Tet Offensive and Siege of Que Son.
256400	263280	In late October of 1968, Company E 52nd Infantry was relocated and headquartered at Phuoc Vinh,
263280	269680	north of Vietnam. The division's area of operations was designated along the Cambodian border in
269680	276080	Tainin, Bin Long, and Phuoc Long provinces, all in South Vietnam. These areas contained
276080	282240	significant routes for enemy infiltration into the Saigon area from Cambodia. So if our witness
282240	288080	is telling the truth and this crash is real, this event occurred in October to December 1968 within
288080	295840	the Company E 52nd Infantry, LRRP, stationed out of Phuoc Vinh. So far, his testimony lines up exactly
295920	302000	with real events. And finally back to our story, a quote unquote object appeared overhead the witness
302000	308480	in his platoon, emitting a bright red orange glow appearing to be melting. The object quickly moved
308480	314240	out of sight, but only five or six seconds later, a large crash followed by a dull thump
314240	319600	reverberated throughout the jungle. The platoon figured this must have been a US plane, so knowing
319600	324800	better than to risk long range radio communications being intercepted by Soviet agents, they moved
324800	330320	to secure the crash site. Arriving at the site, the platoon knew immediately this was not a US
330320	336080	plane classified or acknowledged. The only prosaic explanation the soldiers could think of was a crash
336080	342880	base probe, something from NASA or the Soviets. The craft was egg shaped, dull gray and metallic,
342880	347680	and seemingly cracked open. Again we see the description this craft appeared to be made
347680	354560	from a single piece of metal with no bolts, seams, or screws. This sighting and craft description
354560	360240	give us a lot to work off of actually. What immediately stands out to me is this red orange
360240	365120	glow the craft emanated while flying over the jungle. There are two cases within our crashes
365120	370160	timeframe that are worth mentioning that are similar to this. We can look to November 22nd
370160	379360	of 1968 to NICAP case 681122. On this date in Albany, Georgia, a glowing yellow white oval UFO
379360	385360	was seen from a car, directed a light beam at the vehicle and flew away changing colors to red and
385360	393040	orange. And let's head to move France on December 15th 1968. Reported in a book translated as UFO,
393040	398240	the first complete file on close encounters in France. We can find a case where an egg shaped
398240	403680	object the size of a car moved quickly without making noise, emanating orange reflections.
404400	410560	But let's not forget an event that occurred just a year earlier on March 24th 1967 highlighted in
410560	416880	the sworn affidavits by Captain Robert Salas and others at Malmstrom Air Force Base. I covered this
416880	424160	case in my UFO and nukes video, but this event saw a red orange oval UAP appear over the base,
424160	431200	disabling the ICBMs of Malmstrom. And this mention of an egg shaped object comes up again and again
431760	436400	in ufology. We will talk about this more later in the video with the witnesses experience within
436400	441680	the program. But let's look at the testimony of aerospace contractor Eric Taper to Aero,
441680	447680	who recounted an egg shaped metallic UFO being kept at Area 51 in the 1980s. The description
447680	453280	of this craft is almost identical to the Vietnam encounter. And lastly, the molten feel of the
453280	458400	craft reminds me closely of the mother of pearl effect displayed on the skin of the craft Lance
458400	463360	Corporal Jonathan Waygant claimed to have observed in the jungles of Peru in 1997.
464000	468880	Our platoon of Marines called in the crash only to hear there were already birds in root and
