start	end	text
0	6480	The United States most well-known UFO investigation panels, Project Sine, Grudge, and Blue Book,
6480	13320	ran from 1949 to 1969 and collected data on more than 13,000 UFO sightings.
13320	19560	Of this massive body of sightings, 258 cases reported UFO sightings by ships, and a small
19560	25360	percentage of these highlight unidentified submerged objects or transmedium objects.
25360	31480	Of course, as I highlighted in my last USO video, go check that out, 1952's OpNav Directive
31480	37760	3820 restricted Navy UFO sightings to only be shared with Air Force Technical Intelligence
37760	42080	Center, USAF Intelligence, and Director of Naval Intelligence.
42080	46320	So it is no wonder we are left wanting for officially reported USO.
46320	48640	But what about the cases we do have?
48640	52320	And what other cases that don't appear in Blue Book that span our history are worth
52320	53320	our time?
53680	59320	Hey guys, it's UAP Gerb, and join me as we take a closer look at USO sightings throughout
59320	60520	history.
60520	66120	From Blue Book to the modern day to pre-World War I, let's analyze reported cases of unidentified
66120	67720	submerged objects.
67720	72640	And guys, today we will not just be sticking with the US, but analyzing global cases I
72640	75120	find worth studying.
75120	86000	As mentioned in the intro, only 2% of Blue Book cases, aka 258 reports, involved sea
86000	88040	sightings of UFOs.
88040	94280	And 13 of these reports can be classified as good, meeting merit standards for UFO reporting,
94280	100240	and a handful of these cases with relevant data describe USO and transmedium objects.
100240	104200	Found in the annals of Blue Book indexing is a sighting that occurred in the North Atlantic
104200	108280	from the ship Marcala on August 4, 1950.
108280	114200	Shockingly, this case is listed by Blue Book as unidentified, and may in fact be my favorite
114200	116560	case I will discuss today.
116560	124080	At 10pm EDT, the shipmaster, chief mate, and third mate of the MV Marcala saw an unidentified
124080	128760	elliptical object approach their vessel from the southwest heading northeast.
128760	133520	Passing within 1,000 feet of the ship, the object hovered no more than 100 feet above
133520	139000	sea level, with speeds ranging from 25 to 500mph.
139000	145160	This object was described as ovular, cylindrically shaped and elliptical, like half an egg cut
145160	146680	lengthwise.
146680	152080	The object's appearance varied in testimony from shiny aluminum to metallic white.
152080	156480	All three witnesses described the object as having a rotary and wobbling motion as it
156480	159000	passed closely over the ocean.
159000	161360	This event lasted roughly a minute.
161360	167280	We can also hop on board the SS city of Almaco, heading from Yokohama to LA just north of
167280	171320	the Hawaiian Islands on November 7, 1959.
171320	175440	Three witnesses on board the craft observed a bright object streaking across the water
175440	177760	from four miles north of the ship.
177760	182200	The light emitted three flashes before submerging under the surface, and remember those three
182200	184360	flashes as they'll come up later.
184360	188680	The Almaco changed its course to investigate, but nothing was discovered.
188680	193240	Blue Book labeled this case as a meteor, but while such a prosaic explanation might be
193240	197680	possible, the idea of a meteor taking a low pursuit angle and streaking across the water
197680	201360	for an extended time period warrants more investigation.
201360	205000	And if that case is not anomalous enough for you, let's investigate near the vicinity
205000	209920	of Ascension Island in the Atlantic on the 25th of June 1960.
209920	216360	At 2334 local time, an Operation Range Vessel, co-named Whiskey, was retrieving the data cassette
216360	219440	from a missile test labeled 1802.
