start	end	text
0	5000	Before the first soldier sets foot on the battlefield,
5000	11000	before the first recon flight takes off, SAIC is there.
11000	17000	Helping the Army and Air Force transform opportunities into solutions for diverse missions,
17000	22000	from mission command capabilities to enterprise IT systems,
22000	25000	and modeling, simulation and training.
25000	30000	We work side by side with our customers to develop field and sustain critical capabilities
30000	33000	for our nation's soldiers and airmen.
33000	38000	SAIC focused on mission success.
41000	45000	Well, that's one of those big Pentagon contractors.
45000	50000	Those of us who believe there is UFO information and craft and materials stashed,
50000	55000	suspect that SAIC would be one of the likely candidates to get that stuff.
55000	59000	It's right in the heart of the larger conspiracy lore.
59000	61000	In fact, I think that was the testimony.
61000	64000	This is an alien reproduction vehicle, and just to be clear,
64000	70000	this means that it is based on advanced anti-gravity and zero-point energy propulsion systems.
70000	72000	Those are the propulsion systems.
72000	76000	They are being manufactured by a consortium of companies that include Lockheed Martin,
76000	79000	Northrop, SAIC and other corporations.
79000	84000	James Defense Weekly, the popular military defense publication,
84000	88000	published an article about SAIC,
88000	94000	and there's a post script to the article that anyone who believes in the science of anti-gravity
94000	97000	to be too arcane, too esoteric,
97000	101000	even for the U.S. Air Force should consider the Electric Propulsion Study
101000	107000	undertaken by SAIC for the Astronautics Laboratory, which is now part of the Phillips Lab.
107000	111000	The study's primary objective was to outline physical methods
111000	116000	to test theories of inductive coupling between electromagnetic and gravitational forces
116000	120000	to determine the feasibility of such methods as they apply to space propulsion,
120000	124000	and in simplified terms, an anti-gravity propulsion system.
124000	128000	It remains for some the ultimate quantum leap.
128000	132000	On this channel, I have discussed numerous DOD contractors
132000	135000	and federally funded research and development centers
135000	141000	with strong ties and paper trails to UFO crash retrieval and reverse engineering programs.
141000	146000	After all, the research conducted by myself and scores of other researchers over the decades
146000	151000	have on countless occasions directly accused the U.S. Department of Defense
151000	155000	and Intelligence community of working in tandem with defense contractors,
155000	161000	FFRDCs and UARCs to reverse engineer exotic technologies of unknown origin,
161000	167000	protected by special access and unacknowledged special access programs.
167000	171000	Overall, you know, the government has been the custodian of a lot of this, right,
171000	177000	and they'll hand recede it out to a clear defense contractor to do some analysis,
177000	180000	which I find highly unethical.
180000	182000	You have basically a sole-source arrangement,
182000	189000	and you allow certain private corporate elements to look at this, develop a potential insight,
189000	191000	and then sell it back to the government for profit,
191000	194000	and I think that's totally unethical.
194000	197000	Whether this be Northrop Grumman in tales of legacy programs
197000	201000	under the Tejon radar site under Antelope Valley,
201000	208000	Lockheed Martin and accusations of constructing the TR-3B reverse-engineered alien reproduction vehicle,
208000	212000	Battelle Memorial Institute and declassified studies of shape-memory alloys
212000	217000	possibly originating from the 1947 Roswell, New Mexico crash
217000	221000	or the Aerospace Corporation and MITRE Corporation,
221000	224000	both founded between 1959 to 1960,
224000	228000	allegedly to exploit technologies of unknown origin.
228000	233000	Much of our work on this channel is spent analyzing the private or semi-private sectors.
233000	236000	Today, I want to dive back into the corporate world
236000	241000	to cover an enormous DOD contractor and defense and technology corporation
241000	245000	that I believe may in fact be even more intimately entwined
245000	249000	with UFO legacy program operations and security
249000	253000	over any other American defense contractor,
253000	256000	Science Applications International Corporation.
256000	259000	Many viewing this video will recognize SAIC
259000	264000	as we will call it from here on out as a usual, tricky customer of this channel.
264000	266000	No longer a piece of lost media.
266000	272000	Back on 17 July 2024, long before his excellent interview on Jesse Michaels,
272000	276000	I relayed the testimony of former US Army Green Beret Randy Anderson
276000	281000	and accused SAIC as the contractor running the Off-World Technologies division
281000	285000	beneath the Naval Surface Warfare Center Crane in Indiana.
285000	289000	Today, I'm happy to announce I will be re-releasing that investigation
289000	293000	and while I highly recommend viewing that research in its entirety,
293000	296000	the first time Randy spoke publicly about his encounter,
296000	299000	we will cover his story again today in brief or detail.
299000	305000	The trail of SAIC and UFO legacy programs is not as clear cut and glamorous
305000	309000	as any contractor or FFRDC we have covered before on this channel.
309000	315000	But by studying SAIC, I strongly believe we gain invaluable insights
315000	321000	into UFO legacy program funding, infrastructure, modus operandi, secrecy, and more.
321000	326000	So for this investigation, we will break up our research into five main areas of study,
326000	330000	black-budget moneys, legacy program gatekeeping,
330000	336000	sigh research, technologies of unknown origin, and material slash craft housing.
336000	341000	At the end of this investigation, we should be able to make sense of some interesting questions
341000	345000	such as, what should we make of Dr. Sean Kirkpatrick's former position
