start	end	text
0	6000	For decades, humans around the world have reported sightings of dark, triangular-shaped UFOs,
6000	13500	often featuring three bright white lights at each corner and a dull red light or structural features on the middle surface.
13500	21800	Unlike classic flying saucers, orbs, egg-shaped craft, tic-tacs, and strange organic shapes like the controversial jellyfish UAP,
21800	27300	triangles have historically not been associated with non-human intelligence, but instead,
27300	31800	with deep-sixed, black-budget human reverse engineering efforts.
31800	38500	This is somewhat due to triangular craft lacking many of the hallmarks of what some would consider NHI craft.
38500	45700	No visible means of propulsion, a lack of harsh angles and surface features, missing rivets, bolts, and seams,
45700	52500	as well as many triangular sightings occurring in concentrated periods over populated regions and military bases.
52700	57800	Triangle craft were further touched upon in the fall 2024 UAP hearings,
57800	62800	in which the shadowy, unacknowledged special access program, Immaculate Constellation,
62800	66700	saw its public report released to Congress and the American people.
66700	74000	At least some of the triangles among the rarest UAP configurations reported in the Immaculate Constellation report
74000	79600	have been confirmed by the USAP to be ARV, Alien Reproduction Vehicles,
79600	85900	the same term used by presiding program members to label the Fluxliner Flying Saucer Reproduction Vehicle
85900	91100	observed by Brad Sorensen at the 1988 Norton Air Force Base Show.
91100	97700	And Representative Eric Burleson told me this was not the first time, in fact, he had heard the term ARV.
97700	105400	And I've seen and listened some, and had conversations about this with people from the UFO community
105400	112700	that will say that there's two types of aircraft there is, there's crap that is truly extraterrestrial
112700	120000	and then there's crap that we have reverse engineered and created and for reproduced, right?
120000	127500	And so that report, what is unique about the Immaculate Constellation report is it's about these reproduced,
127500	131500	you know, basically us reproducing what is crashed.
131600	137300	But are these triangles whose descriptions are often time near identical indeed human made?
137300	141100	What can we make of the whistleblower testimony of Edgar Fouchet,
141100	148300	who described these craft in great detail, including a name, the TR Tactical Reconnaissance 3B?
148300	155700	What valuable evidence can we gather from slightly different triangle variations seen from the 1980s and 1990s?
155700	160100	And why would the X-Files TV show contract a triangle designed from an artist
160100	165700	who drew an alleged reverse engineered craft called the XF-131 Super Sentinel,
165700	170300	instructed by two Lockheed Martin and two Northrop Grumman engineers?
170300	177700	Hey guys, it's UAP Gerb and I am thrilled for you to join me on another investigation into alien reproduction vehicle.
177700	182400	This time focusing on the black triangle seen throughout the globe for decades,
182400	186600	let's venture into the full story of the TR3B ARV,
186600	192800	a possible parallel joint Northrop and Lockheed ARV hailing from the Lockheed Martin-Hellendale Plan,
192800	199500	and strange possible ARV prototypes seen throughout the 1980s and 1990s with odd features.
199500	206900	Let us investigate the origins, configurations, and purposes of these craft allegedly built from NHI technology.
207500	220100	On November 13, 2024, the term ARV was entered into the Congressional Hearing Record with the Immaculate Constellation Report.
220100	224100	No, this term did not originate with Stephen Greer in 2001.
224100	229600	It can indeed be traced back to 1988 with alleged first-hand witness Brad Sorensen,
229600	236300	who observed DOD and private industry attempts to reverse engineer anti-gravity flying saucer craft.
236500	241000	And now, the Immaculate Constellation Unknown Anonymous Whistleblower Report
241000	247100	has labeled another craft configuration as alien reproduction vehicles, the triangle.
247100	252000	The report whose historical data tracked back to 2009 discussed a large,
252000	256700	equilateral triangle directly appearing over intelligence-collecting vessels.
256700	260800	Captured by Indo-PACCOM, the U.S. Indo-Pacific Command,
260800	265900	the triangle hovered and rotated slowly 500 to 1,000 meters above the ocean.
265900	270900	Three bright points were seen at each bottom corner of the horizontally rotating triangle
270900	274700	with the horizontal bar of sweeping lights partially observed.
274700	279300	Collected intelligence revealed this triangle was a reproduction craft.
279300	286300	A second Indo-PACCOM entry detailed a fighter jet-sized, equilateral ARV triangle of unknown origin
286300	289500	hovering less than 200 meters above a vessel.
289500	295500	At least two lights were observed on the craft with at least one more obstructed on the underside of the craft
295500	298800	with the triangle slightly positioned at an upward angle.
298800	308000	In their 2023 and 2024 historical reports arrow-listed triangles as solely 3-4% of all reported UAPs.
308000	311000	A morphology that is indeed quite uncommon.
311000	317800	Project Blue Book, the U.S. Air Force's official UFO Investigation Program from 1952 to 1969,
317800	321800	catalogued over 12,000 cases of varying quality.
321800	326100	Let's reference this paper titled The Blue Book Unknowns by Don Berliner,
326100	331900	which utilizes numerous criteria to analyze only the most unexplained of Blue Book cases.
331900	337000	In the 1950s, we find solely four recorded anomalous triangle sightings.
