start	end	text
0	5520	So here is your list. I'm not going to go through 145 sites. Some of them are black
5520	10880	sites. Some of them are bases, you know, about like Wright Patterson, Edwards, Nellis, Area 51,
10880	17680	so-called. But all of them are based on witness testimony and intelligence we've gathered over
17680	24000	the last 30 years and it's time for it to be disclosed. Recently in 2024, Stephen Greer in
24000	29040	the Disclosure Project released their entire catalog of documents, communication logs,
29040	34160	drawings, and other files. Love them or hate them, over the years, Greer has provided valuable
34160	40480	witnesses a platform to speak and wrote in my opinion a truly fantastic piece of work,
40480	45280	his 2001 Disclosure Briefing document. So while I have my problems with Greer,
45280	51040	this document archive absolutely commands my attention. Greer's list of UFO whistleblowers
51040	56720	and witnesses features over 700 names, many of which are redacted. Here we find names we all
56720	62880	expect. Michael Herrera, the late Dr. Robert Wood, Richard Doty, Robert Salas, Jonathan Wagan,
62880	69200	even Bob Lazar. But we also find 22 pages of redacted names. Some of these names are described
69200	74080	simply as points of contact to others, but some have descriptions that might be well worth our
74080	80000	attention. Viewers of my channel may remember UFO witnesses redacted list in which I derived the
80000	85120	names and contacted two of these witnesses from poorly redacted documents uploaded by Greer.
85120	90640	One such witness MS agreed to interview on UFO testing occurring at Dugway Proving Grounds while
90640	96240	the other witness TB was much more shadowy. Today we cover the redacted entry that has
96240	101920	captivated my attention and commanded my research for months on end. A witness I have been more than
101920	107200	eager to cover as I believe this witness's alleged first-hand experiences with UFO reverse
107200	114240	engineering offer crucial insights into DOD and defense contractor involvement with UFO programs.
114240	119600	Hey guys it's UAP Gerb and thank you so much for joining me today. I am beyond excited to cover
119600	126320	another witness in Steven Greer's redacted list. Witness 11063 who makes claims of testing UAP
126320	131920	reverse engineer technology and craft at Edwards Air Force Base, California. Grab your pencils and
131920	137200	notebooks because we have a tremendous amount of research to conduct and avenues to explore from
137200	142800	two simple documents on this former wing commander at Edwards. And before we get started guys full
142800	147680	disclaimer I have been able to ascertain this individual's identity and have tried to contact
147680	153200	him through myriad methods. Should he ever respond and be willing to go public I will go to any lengths
153200	158640	to speak with him. But for operational security and his family's safety I will not burn witness
158640	164400	11063's identity. I have also attempted to encourage this individual to testify before
164400	169520	Congress or contact the Senate Intelligence Committee. For this project I will only be using
169520	175120	publicly available sources no classified or hidden information will be disclosed in this video.
175120	180240	And I would like to say I have thoroughly vetted this individual through public online resources
180240	185040	and can confirm his Air Force station at Nellis Air Force Base, Edwards Air Force Base, and the
185040	190080	Pentagon as well as various positions within the U.S. Air Force as stated by Greer.
190080	200960	I first took note of witness 11063 who I will further refer to as Ed when Dr. Greer released
200960	207760	his witness list. This astonishing entry reads quote career Air Force Nellis Edwards test director
