start	end	text
0	19680	Your Army's Research and Development Program is a continuing effort to help ensure the survival
19680	25640	of this nation. Army Industry Teamwork is essential to the accomplishment of the Army
25640	32320	Research and Development mission. To maintain superiority in our military arsenal, new ideas
32320	40200	are essential. New weapons must be developed and perfected to meet new requirements. In these days
40200	46400	of explosive advances in science and technology, Army Research and Development plays a major role
46400	55480	in maintaining America's military supremacy. You are saying to the human race for the first
55840	63240	time, an official intelligence representative at a high level from the US government is saying
63240	70160	publicly, we are not alone. We're definitely not alone. Absolutely the data points empirically
70160	78960	that we're not alone, yeah. You've said that we have the United States has spacecraft, intact
79400	87960	craft. Do we have bodies? Do we have species? Well, naturally when you recover something that's
87960	99840	either landed or crashed, sometimes you encounter dead pilots. Well, the book is really my experience
99840	106320	of as I lived them and research and development of the Army under General Trudeau, Arthur Trudeau,
107040	110320	when he drew me back in and put me in charge of that and established the Florida Technology
110320	118880	Division for me. These were the artifacts from the crash flying saucer, which we used the word
118880	124560	applied engineering. Dr. Tello is still alive, knows he helped him. We fed these things. He gave
124560	130480	me the job of finding industry or scientists that were close to these items and feed us to
130560	134480	them in normal R&D projects. And you're saying these items came from somewhere else. They came
134480	140160	from a flying saucer. How do you know that? Because they were marked in the files that's coming
140160	145360	from New Mexico. Roswell. Yeah, Roswell. Well, I think some came in might be another crash,
145360	151600	but these were came from New Mexico and Roswell especially. And the General Trudeau gave me the
151600	158640	job of working out a program, put these things out, feed them to industry, but there is provisions
158640	165040	feeding it. They can have the patents, but they had to feed them out back to our house as a competitive
165040	172400	edge of the Army and to the American people and the world as necessary. Before the 2023 congressional
172400	178560	hearings on UAP, before the Schumer legislation and before Grush, the 20th century saw a decorated
178560	183920	Lieutenant Colonel of the US Army speak and sign affidavits on the existence of non-human
183920	190720	intelligence, crashed UAP, and exploitation of technologies of unknown origin. The legendary
190720	196640	Philip J. Corso in his infamous book The Day After Roswell and lesser known but far more impactful
196640	202960	manuscript Dawn of a New Age have cemented Corso as one of the most controversial yet credible UFO
202960	208800	whistleblowers of all time. Lieutenant Colonel Corso central claims revolve around his time in
208800	214320	the US Army serving as the chief of the foreign technology division where he claims he not only
214320	221040	came in contact with autopsy reports of extraterrestrial beings but also craft and artifacts from UAP
221040	227200	crashes and discussed how under his command technologies found in UAP were seated into US
227200	233920	industry to give the army a competitive edge. But are Corso's grand and epic claims indeed true?
233920	239440	And what can we learn from these claims? What valuable research can be extracted from the names,
239440	245920	locations, agencies, incidents, and technologies mentioned by the late Corso? Hey guys it's UAP
245920	251280	Gerb and I am thrilled for you to join me as we fully analyze and deconstruct the testimony of
251280	258320	Philip J. Corso in his claims of UAP crash retrieval, NHI biologics, and reverse engineering of
258320	264160	exotic technologies. Let's conduct a comprehensive deep dive into Corso ranging from carefully
264160	269120	analyzing statements made in his manuscript to digging through his military record and grand
269120	275520	claims. And some quick bookkeeping before we get started today. We are taking the global best seller
275520	280560	the day after Roswell co-written by Corso and throwing it out the window. We will instead
280560	286480	be focusing solely on Dawn of a New Age. The original notes and manuscript of Corso released
286480	295120	in Italy in 2003 and the US in 2011 after Corso's death in 1998 at the age of 83. We will do this
295120	299920	so we can directly study Corso's pure claims without the creative liberties taken in the
299920	306080	day after Roswell, possibly inserted by the other co-writer Bill Burns. According to Corso's son
306080	311840	Philip Jr. he originally had no plans to release his father's manuscript but did due to his father's
311840	317600	distaste for the best seller. As relayed by Jr. Corso went through the day after Roswell and
317600	323440	highlighted everything he did not say or did not like. He got solely halfway through before giving
323440	328560	up due to frustration with the book. Multiple individuals were privy to the manuscript before
328560	334400	Corso's death such as Colonel John B. Alexander who remarked on sensational details featured in
334400	339440	the book missing in the manuscript. Due to the existence of the manuscript and Corso's son's
339440	343680	firm remarks of releasing the piece to correct the mistakes in the book that made his father
343680	347840	furious during his lifetime, we must give Corso the benefit of the doubt and study
347840	354000	solely his unfiltered words. For example, the day after Roswell is 130 pages longer than
