start	end	text
0	3000	It didn't start or end with Roswell.
3000	7400	In fact, many countries around the world have stories of crashes of non-human intelligence
7400	12680	that rival the intrigue, cover-up, and credibility of the infamous crash that occurred in the
12680	15600	New Mexico Desert in 1947.
15600	20920	Whether this be Shag Harbor Canada, Maje Brazil, or others, tantalizing and perplexing stories
20920	24920	of UFO crashes are not isolated to the United States.
24920	31520	So today, let's investigate a severely underexplored UFO retrieval case that may give us the greatest
31520	36840	insights into U.S. craft recovery protocol that allegedly occurred in northern Mexico
36840	41440	in Coyame, Chihuahua, in the summer of 1974.
41440	45960	Hey guys, it's UAP Gerb, and thank you so much for joining me today as we dive into a
45960	51760	gripping and underrepresented crash retrieval case commonly referred to by authors as Mexico's
51760	53040	Roswell.
53040	58840	This case features an astounding tale to rival any case of a downed UAP, a classic crash
58840	64560	disk, U.S. Special Forces recovery, a mysterious leaked report describing the event, the death
64560	69000	of the Mexican military retrieval force, and much, much more.
69000	73040	Is this case that has hardly seen any covering factor fiction?
73040	76160	Join me today as we try and find out.
76160	81120	And before we get started, it is worth noting primary sources for this case are few and
81120	82480	far between.
82480	86960	I will primarily be referencing the work of authors and first-hand investigators into
86960	93280	the Coyame case, Noah Torres and Ruben Uriarte and their book, Mexico's Roswell, the Chihuahua
93280	99080	UFO Crash, and follow-up piece, The Coyome Incident, as well as Leonard Stringfield's
99080	105080	UFO Crash Retrieval Status Report 7 Part 9, and Ryan S. Wood's masterpiece, Magic Eyes
105080	109600	Only, which gives this case a medium to high level of authenticity.
113400	120840	In the early 1980s, whispers of a 1974 collision between a small private plane and disk-shaped
120840	125680	UFO occurring near Coyame, Chihuahua, Mexico began circulating.
125680	130140	Tales of dead Mexican soldiers who initially recovered the craft in an American recovering
130140	135600	team who relieved the corpses of the craft wreckage began to rise and follow these whispers.
135600	141400	In 1994, legendary UFO crash retrieval researcher Leonard Stringfield would state, quote,
141520	147080	I heard of the Chihuahua case before, either in the late 1970s or early 1980s.
147080	152160	The only detail I vaguely recall is that the U.S. military team had covertly crossed into
152160	155000	Mexico to retrieve the object, end quote.
155000	161600	It wasn't until 1992 on an electronic bulletin board, an anomalous document titled, quote,
161600	166340	Research Finding on Chihuahua Disk Crash, end quote, would be posted, commonly referred
166340	170960	to as the Dineb Report, which we will discuss in much greater detail later.
170960	175600	This shadowy, possibly leaked or purposefully leaked memo of unknown origin details the
175600	180000	communications of one J.S. to all Dineb team members.
180000	185960	In early summer of 1993, paper copies of this document would be mailed anonymously to UFO
185960	190320	researchers such as Elaine Douglas, who shared the original documents with Stringfield.
190320	194840	This anonymous mailing to select researchers reminds me strongly of the origins of the
194840	196200	MJ-12 documents.
196200	199840	The Dineb Report serves as our primary document describing this case.
199840	204520	I find it crucial to read this document in its entirety as it serves as the greatest
204520	207200	analysis of this mysterious case.
207200	212080	Afterwards, we will investigate some of the key aspects of this report and event further,
212080	218400	so without further ado, let's dive right into this 1974 recovery story.
218400	226400	To all Dineb team members from J.S. date, 23rd March 1992, subject, Research Findings
226400	229640	on the Chihuahua Disk Crash, text.
