start	end	text
0	7360	More often than not, UFO footage is grainy, blurry, minuscule, and difficult to make out,
7360	12160	or is a collection of pixels on a downgraded USG FLIR platform.
12160	15400	This often leads to the video's feeling impersonal.
15400	19280	But how often do you get to see a truly anomalous craft up close?
19280	26400	Well, there is one video of a UFO filmed in Spain that, if true, is one of the best close-up
26400	29280	views of a UFO ever recorded.
29760	33520	Guys, I am UAPGurb, and I'm not wasting any time today.
33520	39360	So let's do another footage analysis of one of my favorite pieces of alleged UFO footage,
39360	47520	the famous Metapod, as filmed in El Escorial Madrid, Spain on the 6th of September 2015.
47520	52640	This is one of my all-time favorite pieces of alleged footage that has shocking connections
52640	55520	to other sightings and footage worldwide.
55520	58400	So let's take a look first at our footage stabilized.
119280	121280	Let's take a look at the footage.
121280	129280	This is a footage of a UFO filmed in El Escorial Madrid, Spain on the 6th of September 2015.
129280	139280	This is a footage of a UFO filmed in El Escorial Madrid, Spain on the 6th of September 2015.
139280	149280	This is a footage of a UFO filmed in El Escorial Madrid, Spain on the 6th of September 2015.
149280	159280	This is a footage of a UFO filmed in El Escorial Madrid, Spain on the 6th of September 2015.
159280	172880	So what do you think after first watch?
172880	174400	Pretty astounding, right?
174400	179280	Similar to the fly-by video, this footage is too anomalous, too clear,
179280	182240	and too strange to possibly be true, right?
182800	186320	Well, let's start a little analysis and kind of see what we can uncover.
187040	191840	I want to disclaim that I am using YouTube channel ItsBS's stabilized footage of the
191840	199040	metapod due to the fact that the original poster of this video UFO VNI has taken down the footage
199040	203920	as well as the 2017 reupload by YouTube channel UFO invasions.
204560	207520	ItsBS's channel will be listed in the video description.
208400	216960	Unlike fly-by, we can actually trace back the origins of the metapod footage.
217520	226320	On September 7th, 2015, a man named Modesta emailed YouTube channel UFO VNI as mentioned above
226320	229600	after reading that this channel could publish UFO footage.
230320	235760	On screen now is the original email, and here let me read a transcription translated into English.
236720	242400	Hello UFO VNI. I have read on your YouTube page that you can publish the video that I took the
242400	249120	day before yesterday, September 6th, 2015, together with a friend named Moises. My name
249120	255280	is Modesto. What we saw yesterday I sincerely know was not from here. I have been in the
255280	259360	countryside for many years and I have been able to hear the wings of storks in flight.
260000	264320	What we saw did not make any noise, it descended vertically and he walked away.
265120	270560	I must admit that I am somewhat nearsighted but my friend can see hairs and quails in the same way
270560	275920	as finding a needle in a haystack. My friend commented that he saw something moving inside
275920	282160	the UFO. Something alive with limbs, I believe it. Due to personal reasons and the location
282160	286640	of the sighting we do not want to give the exact location of the sighting, but I can tell you that
286640	294400	it was near El Escorial, direction Las Navas del Marques. El Escorial is a place where strange
294400	300160	things happen, but not in the city, but in the nearby mountains. Personally, I neither believed
300160	306720	nor did I believe in UFOs or extraterrestrials. It simply seemed like, quote, nonsense from Uncle
306720	312720	Iker and four other idiots, end quote. Now, that is, from that moment on, I knew that it wasn't
312720	318240	from here, that it wasn't human. My friend Modesto, however, a little more attack at turn
318240	323520	and from the town than me, I never known what he thought but it seems that he is not surprised
323520	329200	to see it. After the video that I sent him and some photos that, as you will see, did not turn
329200	335680	out very well, my friend Modesto told me, quote, here again, in reference to the object. After
335680	340640	asking him about the meaning of his expression, he did not want to say much more, except that it
340640	346000	is not the first time he has seen it and that his father, now deceased, had also seen it.
346000	351200	If it is of importance to him, I will ask, give him the GPS data and exact location,
351200	356160	but only for his investigation so that he does not make said data or the relationship with
356160	362800	the video public. The place is called redacted and is at the coordinates redacted in the direction
362800	368400	in which he went was north south. I asked for strict rigor and commitment to save my personal
368400	374320	or contact information. On the contrary, I send and deliver the video and I give it to you. For
374320	380080	your use and disposition as you please. PS, I'll send you the video later with a link to the cloud
380080	386320	or if you prefer, I'll send you the micro SD card by email. What stands out to me about this email?
386320	392640	Well, for one, the sender Modesto claims that he is Modesto and his friend Moises recorded the
392640	399280	footage. Later on, he says, quote, my friend Modesto. Is this a careless mistake of using pseudonyms
399280	404400	as the sender was already unwilling to provide the exact location of the sighting? Anyways,
404400	409680	Modesto goes on to state that this was not the first time his friend had seen this object
409680	415600	and that his father had seen it also. Modesto's companion also said he saw something moving
415600	422480	inside of the UFO. It's unknown to me why UFO V and I took down this video, perhaps at Modesto's
422480	428320	request, but I have contacted him to learn more. Posts about this footage began popping up around
428320	434080	the internet almost immediately, as seen in this now taken down Portuguese forum on September 8,
434080	441600	2015, called ETS and ETC. Translating this page, we can see the site does not know if the video
441600	448400	is real or fake, but is impressed nonetheless. What caught this site's attention was realistic zoom,
449040	455920	very realistic focus and blur, the shape of the UFO, and similarities to the 2006 La Bruja in
