start	end	text
0	10680	Officially designated as the Dugway Proving Ground, this military facility covers an astounding
10680	17200	1,250 square miles of the Great Salt Lake Desert.
17200	23360	Dugway's official mission is to test top-secret weapons and aerospace systems, but UFO researchers
23360	30360	believe the true purpose of Area 52 is even more sinister.
54320	59840	When you imagine UFO legacy program operations focused on the retrieval and exploitation
59840	65040	of technologies of unknown origin, what kind of facilities come to mind?
65040	69600	Is it Area 51, and it's alleged legendary auxiliary site S-4?
69600	74360	Maybe you think of the Naval Surface Warfare Center Crane, and it's possible off-world
74360	76080	technologies division?
76080	80420	Or perhaps you reference China Lake Weapon Center, Edwards Air Force Base, Wright Patterson
81380	85500	Air Force Base, or any number of U.S. Department of Defense installations that are steeped in
85500	87300	UFO lore?
87300	93300	Maybe, just maybe, when imagining UFO legacy program locations, you picture Dugway Proving
93300	99980	Ground, an enormous 1,300 square mile U.S. Army installation nestled between three mountain
99980	106780	ranges in remote Utah that specializes in the testing of biological and chemical weapons.
106780	111900	Even referred to as Area 52, Dugway Proving Ground rose to prominence in the late 90s as
111900	117900	the successor to Area 51's UFO programs due to heavy public exposure on the once-denied
117900	119380	Nevada site.
119380	125180	Ever since, the Utah site and accompanying two premier MRTFBs have been the focus for
125180	129580	deep-six clandestine UAP operations.
129580	134460	But this spotlight doesn't solely focus on the enormous facilities sprawling across the
134460	135660	Utah desert.
135660	141380	Dugway has additionally been accused as the location of a dumb, a deep underground military
141380	142380	base.
142380	147620	Today we shed light on Dugway and discussion of its technologies of unknown origin, exploitation
147620	150460	programs, and subterranean presence.
150460	156780	Through analysis of the facility's intriguing Army and Air Force MRTFBs, study of defense
156780	163060	contractors present on site, and careful evaluation of the witness testimony of one MS, who I
163140	168980	have covered on this channel before, who stumbled upon a craft of likely non-human origin at
168980	171340	the infamous Dugway range.
171340	175820	Hey guys, it's UAP Gerb and I am thrilled for you to join me as we venture into the
175820	180860	world of legacy UFO programs to analyze Dugway Proving Ground.
180860	185660	How deep does the rabbit hole go between the United States' premier biological and chemical
185660	189460	weapons testing facility and non-human technology?
189460	195580	But individuals, military units, and corporations possibly engage with Dugway and UFO reverse
195580	199180	engineering and material exploitation programs.
199180	205100	And does Dugway operate such UFO programs above and below the Earth's surface?
205100	212100	Join me today as we find out.
212620	219060	Dugway Proving Ground is located 85 miles southwest of Salt Lake City in Tawilla County, Utah.
219060	225580	The site encompasses over 1,250 square miles and it is larger than the U.S. state of Rhode
225580	226740	Island.
226740	232540	The site itself is ideal for seclusion and privacy free from urban encroachment, light
232540	236820	pollution, and excess acoustic and electronic noise.
236820	241020	Dugway is surrounded by mountains, salt flats, and desert terrain.
241020	245940	These geological features combined with a defense retainer that will apprehend approaching
245940	250140	civilians with armed personnel and black-op helicopters.
250140	256900	Make the Utah Proving Ground perfect for clandestine and classified military test and evaluation.
256900	263100	Dugway was founded in 1942 with the mission to test U.S. and allied chemical and biological
263100	269960	defense systems and perform nuclear, biological, and chemical survivability testing and training
269960	275460	of defense material using chemical and biological agents and stimulants.
275460	280860	The Utah Proving Ground uses its state-of-the-art laboratories and chambers to conduct testing
280860	285300	and training under environmentally controlled conditions.
285300	290580	Dugway's inception arose from the 1941 Pearl Harbor attacks which quickly saw the United
290580	297020	States military increase military capabilities in numerous areas including chemical and biological
297020	298180	warfare.
298180	303540	The infamous site has participated in the never-ending global war on terrorism, employing
303540	309100	Special Forces mission rehearsals, classified testing, and biochem urgent need equipment
309100	310100	testing.
310100	316460	Dugway has a laundry list of significant accomplishments including unmanned aerial systems test support,
316460	320780	but we will skip over exploring this entire list of accomplishments.
320780	326740	According to a 2021 U.S. Army Dugway Proving Ground Mission and Capabilities Overview public
326740	331540	report, Dugway is a massive contributor to Utah's economy.
331540	339900	Deploying a total of 2,120 employees in residence, 784 of which are primarily Army and Air Force
339900	347100	contractors, 622 of which consist of primary mission and installation contracting command,
347100	354540	think on-site security personnel, and 486 of these military or defense agency civilians.
354540	360740	Dugway or DPG, as we'll refer to it throughout this project, partners with myriad U.S. military,
360740	365260	government, and intelligence agencies including many that harbor our interest throughout this
365260	366260	investigation.
366260	374500	U.S. Army Airborne, Navy, SOCOM, a.k.a. Special Operations Command, the 388th Range Squadron
374500	380660	out of Hill Air Force Base, Departments of Justice, Homeland Security and Interior, NASA,
380660	382700	and three universities.
382700	388180	Out of these three universities, I would like to draw specific mention to Utah State University.
388180	394300	U.S.U. employs a university affiliated research center, UARC, for the Missile Defense Agency
394300	397780	known as the Space Dynamics Laboratory.
397780	402820	In numerous projects, I have spoken on UARCs and their similar counterparts Federally Funded
402820	405540	Research and Development Center's FFRDCs.
405540	411700	FFRDCs and UARCs are semi-private, DOD-driven research and development institutions.
411700	417780	I have spoken ad nauseam, our key contributors to UAP legacy programs.
417780	424140	While not the topic of today, UARCs and FFRDCs likely exist as a sort of project manager,
424140	428700	serving as subject matter experts and research and development leaders for joint corporate
428700	431980	and U.S. government UAP programs.
431980	438180	In fact, I believe these two types of institutions to be exponentially more knowledgeable on and
438180	444300	crucial to UFO exploitation programs than most defense contractors through their sole source
444300	445300	contracts.
445300	450820	On this topic for another day, however, FFRDC will come up again throughout this presentation.
450820	455620	For this investigation, we will primarily be focusing on two locations on Dugway known
455620	460940	as MRTFBs, Major Range Test and Facility Bases.
460940	466880	MRTFBs are known as the, quote, core set of DOD test and evaluation infrastructure and
466880	472820	associated workforce that must be preserved as a national asset to provide T&E capabilities
472900	476500	to support the DOD acquisition system, end quote.
476500	482540	The quote unquote critical core of test bases comprise over 10 million acres of land in
482540	490900	the United States, employ over 25,000 people annually and receive over $4 billion in acknowledged
490900	492540	funding annually.
492540	499700	There exists a total of 23 acknowledged MRTFBs, eight Army including Yuma Test Center, Arizona
499700	502300	and White Sands missile range.
502300	507580	Six Navy installations including Naval Air Warfare Center Pax River and China Lake Naval
507580	514420	Warfare Center and seven Air Force Bases including Edwards 412 Test Wing, Nevada Test and Training
514420	520460	Range and the 30th Space Wing at Vandenberg and two defense agency bases.
520460	525980	Many here will associate all listed locations with mentions of UFO legacy programs.
525980	532340	I myself have extensively published on witness Ed, who spoke of a joint UFO reverse engineering
532340	538260	operation between the Nevada Test and Training Range and Edwards 412 Test Wing in California.
538260	542380	I strongly recommend viewing this project if you have not already.
542380	549580	Dugway Proving Ground possesses one such MRTFB, the US Army's West Desert Test Center and
549580	555540	also shares the South Range of the Air Force's MRTFB, Utah Test and Training Range with
555540	558100	nearby Hill Air Force Base.
558100	563860	Pay close attention to these two major bases as when we analyze the testimony of MS we
563860	570020	will be exploring a thesis of a joint Army and Air Force legacy program comprised of
570020	577660	the WDTC West Desert Test Center and the UTTR Utah Test and Training Range that extend deep
577660	580100	below the Earth's surface.
580100	585460	And while on the subject of MRTFB's we will dive into much more detail later on including
585460	590540	discussing the Avery Technical Center and shared Michael Army Airfield which I believe
590540	595860	is the operational above ground testing location of this joint UFO project.
595860	600900	But before we venture into Dugway's history with UFO, let's touch on one more thing while
600900	604820	the West Desert Test Center is fresh in your mind.
604820	610260	Investors at WDTC are spearheaded by Army Test and Evaluation Command.
610260	616220	As we begin to implicate Dugway and thus ATEC as engaging in UFO legacy programs I find
616220	621700	the Army Test and Evaluation Organization structure well worth referencing.
621700	626260	Analyzing the reporting structure of ATEC, far up the food chain we can observe the Secretary
626260	630980	of the Army as well as the Chief of Staff and Vice Chief of Staff of the Army answering
630980	634620	directly to the US Secretary of Defense.
634620	639260	Those subsets pertain to these four positions including Director of Operational Test and
639260	640740	Evaluation.
640740	646860	But what is interesting here is oversight and TNE policy as well as USA Tech Command
646860	653060	is independent from Conventional Army Research and Development Test and Evaluation structure.
653060	658060	This independence is mandated by the Office of Management and Budget as well as the Office
658060	660300	of the Secretary of Defense.
660300	665820	This separation exists apparently to ensure warfighter safety through unbiased evaluation
665820	671020	as well as credibility with decision makers, but I can't help but to think here such a
671020	677420	structure could quickly lead to a lack of oversight on ATEC programs and thus a lack of oversight
677420	686540	on West Desert Test Center programs at Dugway Proving Ground.
686540	691580	Let us pause and reflect on historical mentions of Dugway and analyze how and why this site
691580	695140	has often been referred to as Area 52.
695140	700700	Serving as the United States premiered biological and chemical weapons facility, it is no surprise
700700	705940	the secrets of Dugway and its decades of classified operations are held close to the chest of
705940	708380	US military and intelligence.
