start	end	text
0	5880	Meet Battelle Memorial Institute, a private non-profit applied sciences and technology
5880	11600	development company whose mission is to, quote, deliver scientific discovery and applied
11600	15160	research that makes the world a better place to live.
15160	20560	This private non-profit has a prolific list of USG-contracted work, including classified
20560	21560	SAPs.
21560	26920	Battelle has a storied history in the technological development of our US society, including research
26920	32480	into the fabrication of uranium for the Manhattan Project from 39 to 52, development of the
32480	38600	photocopy machine and UPC barcode system, work on combustion, electronics, energy, conversion,
38600	44640	propellants, all for Apollo 11, and military research into biological and chemical weapons
44640	47040	slash defense systems and more.
47040	52880	Today, Battelle manages the National Biodefense Analysis and Countermeasures Center at Los
52880	58320	Alamos National Laboratory and the National Renewable Energy Laboratory, NREL, as well
58320	63720	as Oak Ridge National Lab, all of which are DOE-sponsored labs.
63720	68200	So we already see some ties here with Battelle and the USG UAP work in Los Alamos and the
68200	69200	DOE.
69200	74240	But what if I told you, Battelle is harboring a dark secret, that the company has a long
74240	81800	history of studying UFOs, aiding the USG and USAF in the UFO cover-up, and has even conducted
81800	84640	analysis on UFO material.
84640	89840	Hey guys, it is UAP Gerb and we are finally going to start to dive into one of the most
89840	94960	fascinating aspects of the UFO phenomena, the private sector's connection to the study
94960	95960	of UFOs.
95960	101200	Numerous key figures such as David Grush, Lou Elizondo, Chris Mellon, Eric Davis, former
101200	106960	Senator Harry Reid, and more have made direct statements that USG defense contractors have
106960	112200	a direct hand in the reverse engineering and crash retrieval of UAP.
112200	118640	So today we are going to dive into one such company with real dirty hands on work of UFO
118640	123560	material and research, the Battelle Memorial Institute.
123560	129720	The earliest tracing of Battelle and UFOs goes to something called Project Stork.
129720	136000	In 1952, the director of the Central Intelligence received a memorandum titled Flying Saucers,
136000	140880	which detailed an arrangement between ATIC, the Air Force Technology Intelligence Committee,
140880	146120	and Battelle Memorial Institute for the contractor to establish a machine indexing system for
146120	149000	official reports of UFO sightings.
149000	156080	On the 9th of January, 1953, Battelle's Dr. Howard C. Cross proposes that the ongoing
156080	161160	Project Stork, quote, assists the Air Force in reassuring the public that everything
161160	165800	is well under control with respect to the UFO problem.
165800	170400	At the time, this memo was classified secret and even calls to attention Captain Edward
170400	175040	J. Ruppelt, the project's sign, grudge, and bluebook director.
175040	179600	I've talked about him in the history of the stigma, so check that video out if you haven't.
179600	184960	If you'll remember from that same video, in 1953, the Robertson Panel was conducted
184960	192440	to ensure that all national security agencies should strip UFOs of, quote, special status
192440	196240	and suggest the public there is no legitimate evidence of their existence.
196240	201080	While the Robertson Panel was conducted, Battelle had been commissioned around the same time
201080	207000	to separately analyze all Air Force UFO cases away from bluebook or these official panels
207000	208880	under codename STORK.
208880	212920	This project paralleled to bluebook and was even mentioned by J. Allen Heineck during
212920	216480	his attempted testimony at the Robertson Panel.
216480	220800	Thanks to the efforts of SUFON, the computer UFO network, I have been able to find all
220800	223800	seven Project STORK status reports.
223800	227440	That is another analysis for another day, however, all parts of course will be provided
227440	229560	in the video description.
229560	236720	On the 5th of May, 1955, Battelle and ATIC published a comprehensive analysis of 3,200
236720	239880	UFO sightings titled Special Report 14.
239880	245320	This report concluded that UFO are not aerial aircraft beyond human scientific knowledge
245320	250200	because no physical matter had ever been recorded from any UFO sighting.
250240	255480	But if we dig deeper, there is a massive contradiction here from Battelle's claim that no physical
255480	257480	matter had ever been recovered.
257480	263280	Six years earlier in 1949, Battelle had been contracted by none other than Wright-Patterson
263280	267600	Air Force Base to perform analysis on shape memory alloys.
267600	272280	See on screen now and in the video notes the first and second progress report covering the
272280	279760	period of September 1st to October 21st, 1949 on research and development of titanium alloys.
280480	289880	The bulk of these investigations focus on Nitinol, a nickel-titanium alloy, a metal
289880	296800	that would not be officially discovered until 1961 by Dr. William J. Bueller.
296800	302920	So Battelle was performing analysis on the nickel-titanium shape metal alloy, now known
302920	307360	as Nitinol, over 10 years prior to its official discovery?
307360	310320	Well what exactly is Nitinol?
310320	314480	For you material scientists out there and I am not one of you, Nitinol has the unique
314480	318200	properties of super-elasticity and shape memory.
318200	322600	The metal can be subjected to high levels of stress and snap back to its original shape
322600	327080	when pressure is released, showing no deformation on the material.
