start	end	text
0	5280	So Lockheed Martin wanted to divest itself from this material at a specific facility
5280	10680	that's known to me that I provided to the inspector general, um, like street address,
10680	12680	all that shit, right?
12680	17920	And the idea was if they made a catcher's mitt, a security catcher's mitt for this shit,
17920	23560	you know, most serious set possible, the contractor and the other government customer, which was
23560	29040	the central intelligence agency, um, for that specific Lockheed material.
29040	31480	And it was shit that they recovered from like the fifties and stuff.
31480	36440	It was like bits and pieces of, of, of, of like hall structure or shit like that.
36440	41200	How could in, so if an aerospace, and I've heard this theory from very informed people,
41200	42200	I don't think it's a theory.
42200	48360	It sounds true that if there are crash materials and apparently there, there are those reside
48360	52440	in the custody of not the US government, but of contractors that work for the US government
52440	54680	aerospace defense contract, right?
54680	60600	McDonald Douglas, Lockheed, et cetera.
60600	65040	My kids actually asked the same question and whenever I go on to business trips, I come
65040	66640	home to ask me, how are the aliens?
66640	68040	Did I see the aliens?
68040	69040	Things like that.
69040	70720	So yeah, do the aliens exist?
70720	75120	That's a question for another time, but in terms of what we work on, yes, we do work
75120	77440	on classified projects.
77440	82600	In the field of ufology, Lockheed Martin, the US's biggest and most advanced aerospace
82600	87920	and defense corporation, has been intimately woven with the study of UFOs.
87920	92720	From reverse engineering attempts to material storage, Lockheed's name comes up again and
92720	97960	again and again, and is specifically name dropped by credible individuals like David
97960	100680	Grush and Gary Nolan, who we just saw.
100680	103200	My friends, let's waste no time.
103200	109520	I am your host, UAPGurve, and join me today as we analyze Lockheed Martin's deep history
109520	114920	of UFOs and utilize facts and records to uncover this infamous piece of the military
114920	119280	industrial complex's true involvement with the phenomenon.
119280	126080	In 2021, late former Senate Majority Leader Harry Reid said during a New York Times interview,
126080	131560	quote, I was told for decades that Lockheed had some of these retrieved materials.
131560	136340	I tried to get, as I recall, a classified approval by the Pentagon to have me go look
136340	137560	at the stuff.
137560	139320	They would not approve that.
139320	143840	I don't know what all the numbers were, what kind of classification it was, but they would
143840	145880	not give that to me.
145880	150680	Before we try and uncover what Senator Reid was referencing, let's review some of Lockheed's
150680	155020	accomplishments, so we understand just how advanced this company is.
155020	161040	With annual revenues around the 60s of billions of US dollars, over half of Lockheed's annual
161040	167400	sales go to, of course, the DOD and DOE, and has completed feats of military engineering
167440	174440	marvels, such as the creation of the SR-71 Blackbird, the F-22 Raptor, the F-16, and
174440	177000	the F-17 Nighthawk.
177000	182280	Lockheed has also contributed greatly to the space age of man, creating space shuttle
182280	188760	propellants, designing manned maneuvering units for spacewalks, and landed key contributions
188760	192120	to satellite creations, and much, much more.
192120	197960	And we are all deeply familiar with the famed Skunkworks division that is intertwined with
197960	202840	DOD's special access programs, where top secret projects are conducted that result
202840	209560	in vehicles that fly at Mach 3.2 at 100,000 feet, such as the SR-71, or the production
209560	213160	of the first stealth fighter in the F-117.
213160	219240	But what about projects deeper, or in an even more classified setting than the already shadowy
219240	220760	Skunkworks?
220840	225880	Lockheed Martin is legendary for having so much lore and whistleblowers surrounding the
225880	232200	company's Black Division, but with an astonishingly thin paper trail and available evidence.
232200	236920	You know me guys, we will do whatever it takes to critically analyze and separate fact from
236920	241720	fiction, but going into this know that we don't have the same sort of records available
241720	243800	to us as we did for Battelle.
243800	250440	Lockheed Martin was not working closely with USAF and ATIC to investigate UFOs, and we don't
250440	255960	have an exact paper trail of when Lockheed got UAP material or craft.
255960	259240	So we will have to do our best to analyze all of the evidence.
263640	269480	We'll start by reviewing some of the perplexing claims made by actual Lockheed Martin employees
269480	274520	and head scientists, and yes, there are multiple and quite a few to review.
274520	279000	Most who are familiar with Lockheed's connection to UFOs know about Ben Rich.
279000	283160	The second Lockheed Skunkworks director and the father of the F-117.
283880	290840	Just I'm sure as you guys know about his famed 1993 UCLA speech, where he allegedly stated,
290840	295160	quote, we already have the means to travel among the stars.
295160	300360	But these technologies are locked up in Black projects, and it would take an act of God
300360	302760	to ever get them out to benefit humanity.
303400	306600	Anything you can imagine, we already know how to do.
307320	312360	I'm not here to push any unsubstantiated claims to back my thesis, guys.
312360	318040	So did you know there's actually no video or audio evidence of Ben saying this?
318040	322520	This is not to claim this quote is fabricated or that Rich wasn't interested in UFOs,
323080	326120	but these quotes are recorded by author Linda Moulton-Howell,
326120	329160	who is known to take some report of liberties.
329160	335400	However, this exact quote appears to be confirmed in a 2010 MUFON article by one Tom Keller.
335880	339560	But quite the contrary, on the 10th of July 1986,
340360	345800	one John Alexander wrote to director Rich to expand on his statement of being a, quote,
345800	351880	believer in UFOs. Andrew proposes that there are two categories of UFO and is interested
351880	355880	to get Rich's thoughts, man-made and extraterrestrial vehicles.
356760	360120	In a response letter, Ben Rich replies, quote,
360120	363720	Dear John, yes, I'm a believer in both categories.
364360	369000	I feel everything is possible. Many of our man-made UFOs are unfunded opportunities.
369720	373000	In both categories, there are a lot of kooks and charlatans.
373000	375240	Be cautious. Best regards, Ben Rich.
375800	380360	Guys, please give me a congratulations for being able to decipher that cursive. It was not easy.
381400	387000	The only discussion I can find around Rich's mentioned UCLA speech are some remarks made by
387080	392840	MUFON director Jan Harzan, who actually attended the conference and can confirm some things that
392840	398120	Rich said. He ended his talk with a slide of a black disc zipping off an outer space.
398920	403960	And he ended it with these words, we now have the technology to take ET home.
405080	408760	And the entire place broke up laughing. And Tom and I just looked at each other and said,
408760	413720	did he really just say that? And are these people really not getting that what he's saying is real?
413720	417240	So someone else asked the same question. So finally he just said, he said, well,
417240	420600	he said, let me ask you a question. Do you think it's possible to travel to the stars?
421160	424040	He asked this about a particular engineer who had asked him a question about his career.
424680	427800	And the engineer said, well, I don't know, it just took a long time to get there.
427800	433640	He said, no, it wouldn't. We've found an error in the equations and we now know how to travel to
433640	439720	the stars. So we can't really confirm or deny Rich's supposed disclosure, but we can say that he
439720	445720	did have an interest and understanding of man made versus non human intelligence UFOs.
446360	450600	And next we have Don Phillips, who was an ex Lockheed Skunkworks,
450600	456520	USAF and CIA contractor who told his story through Steven Greer's disclosure project in 2001.
457400	461960	And this is when Greer was still doing largely respectable work to push disclosure.
462600	467880	Phillips directly claimed that Lockheed has extraterrestrial technology and quote,
467880	472200	tremendous technological advances have come from their study.
472200	478680	He also claimed in his interview with Greer, the US military did in fact acquire UFO craft from
478680	486040	Roswell Lockheed, quote, really did put the technology to work. And Lockheed was intimately
486040	492200	involved with anti gravity research. All of these things Phillips claimed. But frustratingly,
492760	497720	vetting Phillips claimed background with Skunkworks and CIA has proved to be impossible for me.
498280	505400	The only mention of Phillips I can find is a paper clipping from July 29, 1965,
505400	510440	which confirms Phillips role in the Air Force as well as mentions him as a graduate of Pierce
510440	515960	College. And fun fact guys, this is the same college that we can actually factually verify
515960	522520	Bob Lazar went to. So analyze Phillips statements as you will. Personally, I view his role with
522520	528120	Lockheed from a skeptical lens. I need verifiable proof that his role within the company was
528120	533880	legitimate before I can judge more. However, some of the things he says about anti gravity,
533880	540040	Roswell and reverse engineering UAP technology lines up almost exactly with some of the other
540040	545320	gentlemen we're going to hear from. And next we move on to a controversial but very verifiable
