start	end	text
0	7000	Yo, yo, let me see if we are live.
7000	10000	I can never get this right, can I?
10000	11000	Live.
11000	12000	All right.
12000	13000	What's up, everybody?
13000	14000	What up, Colin from Dubai?
14000	16000	How you doing, man?
16000	18000	Oh, what up, John?
18000	19000	John, Mr. Pico Graham.
19000	21000	Hey, tell Jones to stop ducking Aspenall.
21000	24000	I'm sick and tired of it.
24000	27000	We're going to let some more people filter in.
27000	30000	I'm trying to kick a pretty foul mood at the moment.
30000	33000	If you guys don't know, I'm a big American football fan
33000	37000	and my team, the Cincinnati Bengals, just got smoked to a dreadful team.
37000	41000	So we're just going to be, and I spent four and a half hours this morning
41000	42000	watching Greer.
42000	44000	So it's just been a strange day.
44000	46000	Well, we'll get through it.
46000	49000	Got a cold brew.
49000	52000	What are you guys up to, anyone?
52000	54000	Do anything fun this weekend?
54000	55000	Got anything going on?
55000	57000	Let me adjust my lighting a little bit.
57000	61000	And the lecture was really interesting.
61000	66000	I have notes on every single aspect of the entire four hours.
66000	69000	So we're going to go through it kind of line by line.
69000	72000	I have screenshots from the entire thing,
72000	75000	and I kind of want to break down each of the PowerPoint slides
75000	76000	and tricks in my hand.
76000	78000	Any advice for new content creators?
78000	80000	I am still a new content creator,
80000	85000	and it's just kind of figuring it out as you go.
85000	87000	I don't know if there's any answer, man.
87000	90000	I still don't know what the heck I'm doing, to be honest.
90000	91000	Watching NFL?
91000	92000	Yeah.
92000	94000	Yeah, let's...
94000	95000	I hate the sport.
95000	98000	I hate football, but I'll be watching next week.
98000	99000	What up, Alexander?
99000	101000	How you doing, man?
101000	103000	Jones will never fight.
103000	105000	I know, and he's ducking him,
105000	109000	because John Jones knows he'd get smoked and knocked out in the first.
110000	113000	You went to a seven-hour general assembly of a political party.
113000	115000	You got in a word, hey, that's awesome, man,
115000	117000	for what subject, representing, or...
117000	119000	That's really cool.
119000	120000	Greetings from Germany.
120000	121000	Hey, what's up, man?
121000	125000	I've only been to Frankfurt in Germany, and I loved it.
125000	127000	Four and a half hours with Greer is enough to sour anyone's day.
127000	130000	Well, when we get into it, it'll probably be really interesting to you.
130000	134000	The presentation was split up into halves.
134000	138000	So the first half of the webinar was talking all about,
138000	143000	you know, the program, black programs, black sites that Greer wanted to discuss.
143000	149000	And the entire second half was about kind of new age stuff, consciousness, and so forth.
149000	150000	But we got all the slides.
150000	151000	We'll go through everything.
151000	153000	Soon 10K, I hope.
153000	156000	So, Gluten, you got the flu, dude?
156000	157000	What happened?
157000	158000	I feel like you're...
158000	159000	This is my friend, Gluten.
159000	162000	I feel like you're ill just about every week.
162000	164000	So I don't...
164000	166000	I hope you're all right.
166000	167000	Doing great.
167000	168000	Love your deep dives.
168000	169000	Thank you.
169000	170000	I appreciate that.
170000	172000	We got one coming out soon this week, very soon.
172000	173000	Hello from Canada.
173000	174000	What's up, dude?
174000	175000	What part of Canada?
175000	176000	Two lives.
176000	177000	I did.
177000	180000	I promised everybody we'd be doing one live a week.
180000	183000	And I intend to keep that promise.
183000	185000	Just a general memory till...
185000	186000	That's awesome.
186000	187000	And you're from Iceland, correct?
187000	189000	I love it.
189000	190000	Wilder side.
190000	191000	What's up, dude?
191000	192000	Hello from Dubai.
192000	193000	Event Horizon.
193000	194000	What's up?
194000	196000	If you guys don't know Event Horizon, this is John Michael Goode.
196000	199000	And his wonderful producer, Ross, I highly...
199000	203000	I mean, I'm sure you guys know about John's channel and the Event Horizon podcast.
203000	206000	Both of these men are excellent individuals.
206000	210000	And I can't wait to be talking about him more in the future.
210000	213000	If you guys don't know Event Horizon, go watch any episode.
213000	218000	Any of John Michael Goode's videos on the Fermi Paradox are instant classics.
218000	219000	And I highly recommend them.
219000	224000	John is a huge inspiration for my channel in terms of just how he treats every video
224000	225000	almost like a research paper.
225000	229000	It doesn't have any BS, kind of just the facts approach.
229000	233000	Not really slick editing to kind of trick people with clickbait or anything like that,
233000	236000	but just stick straight to discussing the topic.
236000	238000	I love John Michael Goode.
238000	239000	All right.
239000	243000	Living in Malta near the border, British Columbia.
243000	244000	That's awesome.
244000	246000	I love it in the private party.
246000	247000	That's awesome, man.
247000	248000	Congrats.
248000	250000	Originally from Arkansas, living in Malta.
250000	252000	Oh, thank you so much, Rod.
252000	253000	I know you.
253000	254000	I really appreciate it.
254000	255000	Skip the matinee.
255000	256000	What were you seeing?
256000	257000	Alien, Beetlejuice.
257000	259000	I don't know what else is out at the moment.
259000	261000	Event Horizon does rock.
261000	263000	John Michael Goode rocks.
263000	264000	Absolutely is awesome.
264000	266000	6 a.m. or where are you?
266000	269000	Are you in Asia or Hawaii?
269000	273000	I was trying to do this one a little bit earlier so we could get some of the EU fellers
273000	276000	and especially because this program had to do with London.
276000	278000	Thank you, Ross and John.
278000	279000	I will talk to you guys soon.
279000	280000	I appreciate that, man.
280000	282000	Really appreciate it.
282000	285000	Have I ever seen Janet's YouTube channel?
285000	287000	Very interesting, clear footage of UAPs.
287000	291000	I've heard of the channel, but I haven't sat through and watched a ton of the videos.
291000	292000	I will have to though.
292000	298000	There's just so much to analyze lately without even touching footage.
298000	301000	Recently, I talked to John and Ross from Event Horizon.
301000	304000	That's something that all of us are on the same page on.
304000	311000	A lot of the times, footage is useful or useless for furthering the conversation.
312000	313000	Thanks, Ross.
313000	314000	I appreciate that, man.
314000	315000	Thank you very much.
315000	316000	Much love.
316000	317000	Thank you for the support.
317000	318000	It's awesome.
318000	319000	Greetings from the UK.
319000	320000	Yes.
320000	321000	Okay.
321000	322000	Perfect.
322000	324000	I wanted some of my friends from across the pond in here.
324000	326000	That's wonderful.
326000	329000	Can you do a video where you analyze Green Street and other skeptics claims?
329000	330000	Absolutely.
330000	331000	I'd love to.
331000	333000	Green Street is a strange one.
333000	336000	There's something that makes me irrationally angry whenever I see a tweet of his because
336000	343000	I know it has an 8 out of 10 probability of containing the words alien space monster
343000	346000	or spooky aliens or something like that.
346000	349000	That sounds great.
349000	353000	Green Street, maybe a little bit more Sean Kirkpatrick work, I think would be excellent.
353000	354000	Absolutely.
354000	355000	Way to kick off the week.
355000	356000	Thank you, Django.
356000	358000	My mom's dog's name is Django.
358000	360000	Nice to see you, new subscriber.
360000	361000	Thank you very much, man.
361000	362000	I really appreciate that.
362000	365000	First video, when you get it, feel free to drop the link.
365000	367000	I'd love to watch it.
367000	374000	How about we get started with the, yes, Green Street does have DOD ties.
374000	375000	He does.
375000	377000	Oh, Norway Oslo here, man.
377000	379000	I was just in Oslo last September.
379000	380000	My girlfriend is Norwegian.
380000	381000	I loved it.
381000	382000	I can get the link.
382000	384000	Yes, please, brother.
384000	387000	Let's start with Steven Greer's event.
387000	392000	This wasn't nearly as publicized as something like the 2023 National Press Club event.
393000	395000	I'm not exactly sure why.
395000	400000	I know Greer put a lot of effort into kind of getting a lot of attention towards that.
400000	403000	This was done in London.
403000	408000	A bit strange as there were different tiers to kind of witness the event.
408000	410000	The webinar itself was $50.
410000	416000	It was really weird, but there was also a $75 in-person ticket to go see.
416000	419000	She know if you're watching that, let me hear how it was.
419000	424000	And then you could pay $1,500 for a meet and greet with Steven Greer.
424000	429000	Like a dinner because the way the event went from three to seven o'clock London time was
429000	433000	Steven Greer's lecture and webinar, he says, and workshop.
433000	434000	There was no workshop.
434000	438000	There was no worksheets, but this was split into two distinct tabs as I'll kind of get to.
438000	443000	After that, there was a dinner with Steven Greer and then a premiere of the lost century,
443000	445000	Steven Greer's newest documentary.
445000	452000	I think that is free to stream on Peacock maybe or it's free to stream on some service.
452000	453000	I recommend watching it.
453000	457000	I know it features a lot of artwork by Michael Schrat and I really respect Michael Schrat
457000	458000	and love his work.
458000	462000	And I still do think any of Greer's work is worth watching and then kind of analyzing
462000	464000	and dissecting from there.
464000	465000	Let's get through these.
465000	472000	Do you think Steven Greer tries to bring forth any actual whistleblowers?
472000	474000	In this event, no.
474000	477000	He only talks about mostly whistleblowers.
477000	478000	We know.
478000	483000	In fact, Steven Greer had himself a viewing of a UFO witness list and decided to reiterate
483000	484000	some of that.
484000	490000	But I think right now he's on the warpath of trying to kind of to identify these black
490000	494000	operation sites, two of which he mentioned in the video.
494000	495000	And we'll go through those.
495000	498000	I'll pull up the exact actually three of them he mentioned in the video.
498000	500000	I got exact coordinates to all of them.
500000	505000	So we'll kind of go through there and keep going.
505000	507000	Gluten, some swag would be legit.
507000	508000	I would like that.
508000	511000	I'd like to do some black stuff with some just stitched logos on there.
511000	513000	It's free on rumble.
513000	514000	It's free on rumble.
514000	515000	So I recommend watching that.
515000	518000	I recommend watching unacknowledged.
518000	520000	Just anything by Greer is worth a watch.
520000	523000	The production value on his documentaries are generally very high.
523000	527000	And it's still good to, yeah, cult leader.
527000	531000	A lot of this conference was about CE five.
531000	532000	I remember.
532000	537000	So for my discord, I had live notes in there just kind of telling everybody what was going
537000	539000	on with screenshots and stuff like that.
539000	545000	And Greer would go on like 25 minute diatribes talking about like his near death experience
545000	548000	at 17 or a lucid dream of the future.
548000	552000	And that's fine and dandy, but to spend, you know, a significant amount of time in a workshop
552000	554000	where people are paying money to go see.
554000	558000	I'm a little bit, uh, I'm a little bit, uh, not huge on that.
558000	560000	So let's start.
560000	563000	I'm going to share my screen and we'll just kind of go through things a bit slowly as people
563000	567000	start to trickle in because there is some really interesting stuff Greer talked about
567000	569000	and some interesting connections as well.
569000	573000	So I need to remember how the heck to share my screen.
573000	577000	Cinema layout presents.
577000	581000	Share screen.
582000	585000	Tire screen.
585000	586000	Okay, cool.
586000	587000	Yeah.
587000	589000	So let's see what everybody's saying.
589000	591000	Um, Greer.
591000	592000	Yes.
592000	593000	Exactly.
593000	597000	Greer should not be ignored, although he is controversial for anyone saying, please try
597000	598000	CE five.
598000	599000	Uh, you want to understand it?
599000	600000	I would like to understand it.
600000	602000	I still have not tried CE five.
602000	606000	Greer says he has, uh, tutorials on how to do such a thing.
606000	612000	But, uh, you know, it's why not explore it and then kind of, uh, come up with a conclusion
612000	613000	there.
613000	617000	But so some of the things Greer talked about in this was, uh, uh, talking about new top
617000	618000	secret witness testimony.
618000	620000	He didn't really reference any new top secret testimony.
620000	622000	We'll go through everybody he did talk about.
622000	625000	You'll know some familiar players from my channel.
625000	627000	He references Michael Herrera.
627000	631000	He references TB, which I thought was in somewhat of strange taste.
631000	634000	He went, uh, mentions MS.
635000	637000	Uh, witness, TE or ET.
637000	641000	I can't remember in which direction in the disclosure project archives.
641000	642000	It's 10, eight, nine, two.
642000	646000	The guy who discussed a fake abductions and programmable life forms will kind of touch
646000	651000	into, uh, besides that, um, Greer posts two images of blacks.
651000	652000	I T visited from last year.
652000	656000	Neither of these images he posted are from his actual visit.
656000	657000	One of them is from Google Earth.
657000	663000	Another one is a ripoff of one of my images, which was kind of funny to see, uh,
663000	665000	meetings between Dr. Greer and key members of Congress.
665000	667000	We have a couple of notes on that.
667000	670000	So let's, um, let's start going through things.
670000	672000	So I have, uh, power.
672000	676000	I have screenshots of every single slide that Greer had.
676000	677000	I'm just going to get all these.
677000	679000	We'll go one by one.
679000	680000	Sorry.
680000	681000	What the heck?
681000	683000	My bad guys.
683000	684000	Okay.
684000	685000	Yeah.
685000	690000	So for, uh, Greer's first, he gave a little kind of preamble when he was talking about
690000	692000	serious disclosure and so forth.
692000	697000	Greer states that his first CE five attempt occurred in 1992 in England at the height
697000	698000	of crop circles.
698000	703000	Greer claimed that his initial CE five event led to a crop circle that inspired his CE
703000	705000	five logo, which is this.
705000	712000	So Greer stated that, um, he summoned a UAP craft, eat this crop circle with this design
712000	713000	appeared.
713000	715000	And then he saw a large saucer like design in a field.
715000	716000	That was new to me.
716000	721000	I know Greer kind of states that since he was like 18, he even said this in the, uh,
721000	725000	presentation that he had kind of figured out how the universe works, which I find a
725000	726000	little bit egotistical.
726000	727000	I'm not going to lie.
727000	731000	Even if a CE five has some real practices to it, I don't think it's very humble to
731000	734000	state you understand how the universe works as a 17 year old man.
734000	737000	But this is how kind of serious disclosure and so forth came to be.
737000	744000	So his initial slide, some of the points he wanted to talk about were, um, he approached
744000	749000	this sort of webinar as kind of like a kindergarten level briefing for individuals.
749000	753000	He kept saying in the first couple of slides that, you know, whoever watches this, it's
753000	755000	going to absolutely blow your mind.
755000	757000	Like you're going to be crying when you leave this year.
757000	760000	You're not going to really be able to understand what you just saw.
760000	765000	And to be honest, there wasn't too much like new information here.
765000	770000	There's a lot of interesting stuff to discuss, but there wasn't a lot of really new, um,
770000	771000	information.
771000	776000	So something that Greer does state on these first couple of slides is when, when he was
776000	786000	young, a gatekeeper to the program who tried to kind of not really buy Greer off, but to,
786000	788000	um, but intimidated Greer.
788000	792000	So Greer said that Major Albert Stubblebine was this individual.
792000	798000	Stubblebine has mentioned multiple times in the witness list.
798000	805000	So sorry, spell check.
805000	810000	So Greer has a witness, 10, 5, 9, 9, who worked with Major Stubblebine for four years, has
810000	813000	documents, recording interviews and others to back up his claims.
813000	817000	I've found no, none of those documents in the DP archive.
817000	824000	Uh, he also taught Greer has a witness, 10192 of an ex remote viewer under Stubblebine,
824000	825000	um, and so forth.
825000	828000	But here is a really interesting witness guys.
828000	829000	Uh, check this out.
829000	830000	610658.
830000	832000	I noticed this a lot.
832000	835000	I noticed this a lot earlier when I was kind of reading through the DPR.
835000	837000	I cried the first time.
837000	839000	So Greer has a witness 10658.
839000	844000	He says that this witness has been involved in the sixties, former head of Fort Huachuca.
844000	845000	I hope I'm saying that right.
845000	846000	And if I'm not, I'm sorry.
846000	850000	Fort Huachuca, army intelligence where ET craft and body are stored.
850000	854000	He says this because later when Greer posts his facility list, he talks about Fort Huachuca
854000	856000	being a really kind of key facility.
856000	859000	Well guys, now here's what's interesting.
859000	860000	Okay.
860000	865000	So major Albert Stubblebine Greer says this person intimidated him.
865000	871000	Let's go to look at the, um, let's look at the army intelligence center in school at
871000	873000	Fort Huachuca, Arizona.
873000	878000	So this is the Fort Huachuca who was in charge of, sorry, let me back up for a second.
878000	882000	When Greer talks about Fort Huachuca, which we'll address later in the video, he says
882000	888000	that the person he spoke to ran a Fort Huachuca and discussed ET craft and ET bodies in the
888000	889000	1970s.
889000	890000	Okay.
890000	891000	So check this out.
891000	896000	Brigadier General Eugene Kelly Jr. took command of the U.S. Army Intelligence Center in school
896000	898000	at Fort Huachuca, Arizona.
898000	901000	This was in the year 1975.
901000	904000	But this is rather interesting.
904000	910000	In 1977 at Fort Huachuca, he relinquished his command to General Albert Stubblebine.
910000	915000	So Stubblebine could very well be this witness right here, 10658, somebody who has been involved
915000	920000	with the 60s, former head of Fort Huachuca Army Intelligence where ET craft and bodies
920000	921000	are stored.
921000	925000	When later in the video we'll talk about Greer referencing a source at Fort Huachuca who
925000	928000	worked there in the 70s to talk about ET craft and bodies.
928000	934000	But this is also somewhat at odds with Greer's original statement that Stubble, Stubblebine
934000	936000	specifically tried to intimidate him.
936000	942000	But I would have a high bet here that this is probably General Albert Stubblebine.
943000	948000	So Greer states he was approached by insiders when he was a 30, when he was in his 30s.
948000	953000	He labeled these guys as white hats or good guys or blue team as we'll discuss earlier.
953000	958000	If you remember from the majestic video, kind of blue team, red team, these are often labeled
