start	end	text
0	5600	I thought it was totally nuts and I thought at first I was being deceived, it was a ruse.
5600	10640	People started confiding in me, they approached me, I have plenty of current former senior
10640	15240	intelligence officers that came to me, many of which I knew almost my whole career, that
15240	19760	confided in me they were a part of a program, they named the program, I've never heard
19760	21360	of it.
21360	28440	Forget little green men, forget Area 51, forget Bob Lazar, and get any sort of conspiracy
28440	30840	out of your mind for just a second.
30840	37560	It's no longer just speculation or even a secret that within the US Department of Defense
37560	45800	lies a shadowy UFO reverse engineering and crash retrieval program with access so exclusive,
45800	49840	only a couple hundred people in the 80 plus year history of the program has ever been
49840	51280	read in.
51280	57920	People like David Grush and legislation like Schumer's 2024 NDAA legacy programs have
57920	63100	helped turn a former conspiracy into an outrageous fact.
63100	67360	Sometimes it feels like details, names, and operations of these programs will never come
67360	73520	to life, that those in the know in the defense industry will cling to secrecy until they're
73520	75840	dying breaths.
75840	82160	Though actually receiving transparency may sometimes feel like a distant fever dream,
82160	86200	you know your host UAP Gerb has you.
86200	92960	Join me today and we will venture into Project Moondust and follow the astounding paper trail
92960	98760	of one possible DOD UFO crash retrieval program.
98760	104960	Edward J. Ruppelt conducted the first ever official US government study into the UFO phenomena
104960	109680	under Project Grudge in 1948 to 1949.
109680	115320	He went on to serve as the director of Project Sign and Blue Book, the subsequent US government
115320	120240	official UFO investigation programs in the 20th century.
120240	127280	During his time as director, Ruppelt concluded UFOs had a quote interplanetary explanation.
127280	134840	On the 24th of April 1952, Ruppelt suggested programs parallel to the official USG investigation
134840	140080	were quote, conducting a more complete investigation.
140080	145960	This same conclusion was derived by J. Allen Heineck, the scientific advisor to Project
145960	147080	Blue Book.
147080	152200	We talked about him in the alien and UFOs obscure oddities iceberg layer two, so if you want
152200	154640	to know more, read there.
154640	161440	But Heineck additionally said that alongside Blue Book, there were other classified programs
161440	164120	going on studying UFOs.
164120	169960	One of these projects could have been an inconspicuous crash retrieval program, one
169960	176360	that unless you look hard enough, you'll never know existed, and that of course is
176360	179560	Project Moondust.
179560	186560	The first mention of Moondust can be traced back to 1961 in a US Air Force document titled
187200	191480	AFCIN-1E-0 Draft Policy.
191480	198000	This proposal suggests that the USAF 1127th received collection responsibility duties
198000	206280	for the USAF's established program for investigation of reliably reported unidentified flying objects
206280	208800	within the United States.
208800	214180	The memo also lists one project that has historically had this duty.
214180	220260	That project is Moondust, which has the authority to locate, recover, and deliver descended
220260	223020	foreign space vehicles.
223020	228460	And as we can see in this 1967 review for the Assistant Chief of Staff for the Intelligence
228460	235700	Community, which details the functions of the 1127th USAF Field Activities Group, Moondust
235700	242700	is shown to not just be a proposal, but exists, and has historically dealt with some terrestrial
242700	244340	space vehicles.
