start	end	text
0	6560	When discussing UFO legacy programs, I aim to expose any clandestine black-budget U.S.
6560	11840	government military intelligence operation, partnering with defense contractors, federally
11840	16880	funded research and development centers, and university-affiliated research centers engaging
16880	23520	with non-human technology. These programs seem to take many forms, including crash recovery of
23920	29520	non-human vehicles, material exploitation of technologies of unknown origin, reverse
29520	35520	engineering of anomalous craft, and construction of copycat vehicles famously known as alien
35520	41840	reproduction vehicles, ARVs. On this channel, we have discussed myriad major range and test
41840	47280	facility bases and defense laboratories and centers where such programs are likely located.
47280	53520	We have also discussed at length contractors, FFRDCs, and UARCs that are alleged to operate
53520	61520	alongside the CIA and NSA across Army, Navy, and Air Force UFO programs. When such clandestine and
61520	67120	secretive operations to master non-human technology have led to, in David Grush's words,
67120	72880	a multi-decade secret Cold War, where might these programs be located? The logistics of
72880	79040	maintaining secrecy and strict need to know access for unacknowledged special access programs focused
79040	84560	on anomalous research, development, test, and evaluation of non-human technologies and storage
84560	91760	of non-human craft and possibly biologics are likely tremendous. For this reason, we must look
91760	98240	underground and evaluate the decades of rumors and testimonies of UFOs and deep underground
98240	104080	military bases, or DUMMS. DUMMS have served as a continuous focus of this channel with recent
104080	110000	discussion and direct investigation into dugway-proving ground. The United States premier chemical
110000	116320	and biological testing range and its alleged 1,300 square mile subterranean facility and
116320	122320	remote entrance in the desert. For this investigation, we will be continuously referencing the work of
122400	128400	Dr. Richard Sotter and his three masterpieces titled Underground Bases and Tunnels, What is the
128400	134320	Government Trying to Hide? Hidden in Plain Site Beyond the X-Files and Underground and Underwater
134320	140400	Bases. These three dense pieces give us keen context into subterranean bases in the form of
140400	146160	stringent fact-based analysis through publicly available records, FOIA documents, declassified
146160	152720	documents, and the occasional witness testimony. Deep underground military bases do indeed exist.
152720	159520	This is fact and we will explore this fact today, but do these sites engage with UFO legacy programs?
159520	166480	And if so, which DoD sites and what do they do? And could the decades of rumors regarding underground
166480	172560	tunnels connecting these clandestine sites through an internal rail system possibly be true?
172640	177520	Hey guys, it's UAP Gerb and thank you so very much for joining me today as we embark into the
177520	184240	world of the subterranean to investigate DUMs and UFOs. The subject of UFO legacy sites embedded
184240	189120	into mountains with hidden hangars sequestered a mile beneath the Earth's surface or hidden
189120	193840	anywhere out of the public and satellite view has long been a talking point of this channel
193840	199840	in my investigations. Today, we finally look below the Earth's surface to evaluate the existence,
199840	206080	feasibility, and operations of UFO legacy programs and deep underground military bases.
211200	216800	To borrow from the title of the first chapter of Dr. Richard Sotter's Underground Bases and Tunnels,
216800	222560	deep underground military bases are indeed real. Throughout this project, I will be interchangeably
222560	229280	using the terms DUM and subterranean facility or stiff. The name said to me by multiple veterans
229280	235440	who have traveled to such underground locations. And speaking of, I should mention, I have spoken
235440	240800	to nearly half a dozen former military personnel who have traveled to stiffs across the country.
240800	246160	I try to shy away from inserting first hand source testimony and anecdotes into my videos and let
246160	251360	evidence and research speak for itself, so I will interject with these first hand testimonies when
251360	258160	and if necessary. In a 1989 speech titled Underground Facilities for Defense, Experience
258160	263600	and Lessons, Deputy Director of Engineering and Construction for the U.S. Army Corps of Engineers
263600	269520	Lloyd A. Dusha said, quote, After World War II, political and economic factors changed the
269520	275440	underground construction picture and caused a renewed interest to think underground. As a result
275440	280320	of this interest, the Corps of Engineers became involved in the design and construction of some
280320	286240	very complex and interesting military projects, end quote. In the same talk, Dusha would then go
286240	291520	on to exclaim, quote, Although the conference program indicates the topic to be underground
291520	297280	facilities for defense, experience and lessons, I must deviate a little because several of the
297280	302800	most interesting facilities that have been designed and constructed by the Corps are still classified,
302800	308800	end quote. Acknowledged military subterranean facilities do indeed exist. Publicly known sites
308800	314720	include the Norad Cheyenne Mountain Complex buried deep under Colorado Springs. This enormous
