start	end	text
0	5760	It was dripping this syrup like, like service custody is liquid.
5760	10560	It was everywhere, all down everywhere when we went down there because there was plants and everything.
10560	12160	It was, it was weird.
12160	19040	It was a purplish green color and you could tell it was like, it was just weird.
19040	29840	It was, it's hard to explain it kind of like, like, like it was like it seemed to just like be alive.
29840	35680	I mean, it was almost like, if you're looking like something organic, I don't know, I couldn't tell.
35680	39120	It didn't look like anything we would make, like machine parts or anything.
39120	41280	It looked like it was sculpted.
41280	42960	These were these large vents.
42960	46000	They looked like they went into the craft, but I couldn't tell.
46000	48080	But it, I mean, it was a shadow.
48080	50160	That was the only thing that really cast a shadow.
50160	58720	The rest of this, well, it was another thing was these vents cast to the shadow where you could see where there wasn't light.
58720	62400	But the sun was shining right on the object and it didn't cast a shadow.
62400	63520	Not on anything.
63520	65360	It was like kind of like absorbing the light.
65360	66960	It was weird, strange.
66960	71280	There was no reflection or anything like that, you know.
71280	73760	Is there anything positive at all that you've got now?
73760	76640	Yeah, I'm still alive.
76640	80800	Yeah, they threw me into the mud and all that liquid got my hair in my face.
80800	83280	Oh, they were like scientists, I suppose.
83280	89040	They had this typo, like we'd call it mop gear, right?
89040	90720	Mission-oriented protective posture.
90720	97200	And they had gas masks on and like rubber suits and they were coming around.
97200	99440	And you had all kinds of weird people there.
99440	106560	Some had some version of mop or personal protective posture on and personal protective gear.
106560	112240	And it was all different ones, different kinds.
112240	117280	Very few first-hand UFO witness encounters over the decades have matched the intrigue,
117280	122080	coherence, and respect as former US Marine Lance Corporal Jonathan Wagan.
122080	127360	Lance Corporal Wagan first told of his harrowing UFO crash retrieval encounter during official
127360	133680	service in US Operation Laser Strike in the Peruvian jungle through Stephen Greer in the year 2000.
133680	138640	As a young perimeter security marine tasked to investigate a downed aircraft thought to be a
138640	143600	South American drug smuggling plane or friendly US vehicle, the Lance Corporal claimed to have
143600	149440	stumbled upon a crashed, egg-shaped UFO and subsequent Department of Energy retrieval team
149440	155520	that in my opinion gives us one of the greatest possible instances of insight into how US government
155520	158800	rapid reaction UFO recovery teams operate.
158800	164080	Since his original testimony, Wagan has publicly discussed his encounter with a non-human craft,
164080	167920	an antagonistic DOE retrieval team only once more.
167920	172400	In 2023, Jonathan Wagan appeared on a podcast with Martin Willis,
172400	177200	re-addressing aspects of the Lance Corporal's incredible encounter but exploring little new
177200	184720	ground. Today, I am beyond excited to announce a true successor to Jonathan Wagan's 2000 testimony,
184720	189280	an in-person discussion where Jonathan and myself discuss why he went public,
189280	195200	new details of the UFO crash retrieval encounter, adverse health effects and reprisals Jonathan has
195200	201120	faced and so much more. Before this discussion, I thought it pertinent to take a step back and
201120	207520	cover Wagan's testimony in painstaking details. After all, I have covered this case before in
207520	212480	one of my first ever projects but barely even scratched the surface of this encounter.
212480	217280	So before I sit down with Wagan in the coming weeks, let's take a step back and analyze
217280	223200	every single detail of this 1997 encounter, from piecing together the origins and deployment of
223200	228640	the DOE recovery team to contacting other Marines allegedly involved with the case,
228640	234240	to determining where Wagan may have been taken and interrogated to analyzing specific similar
234240	240320	egg-shaped UFO crash retrievals. Let us leave no stone unturned analyzing one of the most
240320	244640	fascinating first-hand UFO crash retrieval cases in history.
244640	249680	Hey guys, it's UAPGurb and I am thrilled for you to join me today as we embark on a
249680	255200	comprehensive analysis of the claims of Lance Corporal Jonathan Wagan. As a precursor to my
255200	260160	in-person interview with Jonathan, I thought it pertinent to step back and critically analyze
260160	266000	the entirety of his testimony. This investigation will not seek to simply retell this incredible
266000	273200	UFO crash case but to unravel this case and gain insights into US UFO crash retrieval teams.
273200	279120	And before we get started a few things to point out, I would like to thank RGHUFOs and take OM
279120	284880	for their incredible 2023 work into Wagan's case. These excellent researchers arrived at many
284880	289680	of the same conclusions I did long before this project so please check out their work in the
289680	295440	video description. I'll also be pulling clips from Wagan's 2023 podcast with Martin Willis
295440	301360	and 2000 tape testimony with Steven Greer. And it is worthy to note, Greer chopped up Wagan's
301360	306800	original testimony, emitting certain details. These include Wagan describing what looked to be
306800	312640	a four-fingered arm hanging out of a recessed hall in the crashed UFO. Greer seemingly omitted
312640	317920	this from the 2000 testimony. Due to this, I will be pulling Wagan's recorded tapes off
317920	324000	of Steven Greer's DPI archive to try and capture Wagan's words uncut and in their purest form.
324000	329120	But these files are still chopped up and edited. I have found it impossible to get my hands on
329120	335200	the full unedited tape but this is the closest we can get. Due to these rough files, audio quality
335200	339200	is significantly worse than the published interview but I still find it important to
339200	344720	publish Wagan's words without edits. These source files contain many additional details,
344720	349760	time spent with Wagan's military records and drawings, as well as questions asked by filmmaker
349760	354080	James Foxx that were curiously cut out of the 2000 published interview.
354480	359040	This one was the one that was half open and you could see into it but I mean it was just
359040	366560	black as like looking into a closet. Alongside the 2000 tape, I have found and will be often
366560	372160	referencing Jonathan's outreach to Greer's team from August 2000, just two months before his tape
372160	377680	testimony. And of course it goes without saying, I will often be pulling my own clips from my time
377680	383200	spent with Jonathan Wagan. With all that being said, let's start our investigation and first
383200	388960	travel back all the way to 1997 to relive the experience of Lance Corporal Wagan.
394880	401680	And basically I was there and then I was transferred over to the section for laser
401680	408320	strike in February of 1997. As a young man, Jonathan Wagan joined the Marine Corps in 1995
408880	414080	until 1998. After a back injury suffered in training, Jonathan's service led him to the
414080	419600	second low-altitude air defense battalion within the Marine Corps Air Control Group 28 stationed
419600	425120	at Marine Corps Air Station Cherry Point. During this time, Wagan served as a low-altitude air
425120	430160	defense gunner with training on Stinger man portable air defense systems, man pads, and
430160	438000	Avenger surface-to-air missiles, SAM platforms. In 1997, Wagan and the USMC MACG-28 were deployed
438000	443360	to Bukalpa, Peru to support Operation Laser Strike specifically to operate as perimeter
443360	449200	security for mission radar installations and to replace aging hawk missile batteries with Stinger
449200	454640	and Avenger missile platforms. Laser Strike was one of numerous US worldwide classified
454640	460480	operations under US Southcom or US Southern Command to counter narcotics traffic in Peru.
460480	466400	The operation included up to 20 US agencies including the USMC, Drug Enforcement Agency,
466400	472800	Air Force, CIA, National Guard, and US Army Special Forces, as well as local Peruvian forces such as
472800	479040	Peruvian Air Force or FAP. Laser Strike served to conduct three phases of counter drug operations
479040	484480	including illegal use of airspace, alternate transportation modes, and production capabilities.
484480	489440	Laser Strike employed several acknowledged data acquisition and radar systems to accomplish its
489920	497520	including TPS-43 and relocatable over-the-horizon radar systems, or RothR, and possibly covertly
497520	503840	utilize satellites from the Defense Support Program. In 1996, Laser Strike proceeded Operation
503840	509920	Green Clover, a similar US Southcom operation to combat narcotics transfer in Peru and Colombia
509920	516800	but much smaller in scale. In the 12 month period from April 1996 to April 97, within the timeline
516800	523040	of Jonathan's encounter, air and ground-based radar used by Laser Strike tracked 45,000 total
523040	530240	aircraft. 5,390 of these were quote-unquote tracks of interest. Only 150 of these were
530240	536240	suspected of drug trafficking but only 21 such planes were forced or shot down. However,
536240	542240	the exact number of shoot-downs was classified. Three primary locations satisfied this mission
542320	548720	conducted in Peru, Puculpa, Andoas, and Iquitos, whose mission was to track, identify, and ground
548720	554960	by warning or force drug trafficking aircraft entering or leaving Peruvian airspace. In support
554960	560080	of Laser Strike and counter drug operations, US Special Forces were additionally sent to Iquitos
560080	565680	Peru to the Mar Forlant Riverine Training Team to train with Peruvian military forces.
565680	571760	US Southcom authorized up to 14 Special Forces deployments to the region during 1997,
571760	576960	and one major Special Forces group that aided in South American counter drug operations attached
576960	583200	to US Southcom was the US Army 7th Special Forces Group, aka the US Army Green Berets,
583200	588880	out of Fort Bragg, North Carolina. Historically, the 7th Special Forces out of SOCOM or Special
588880	594320	Operations Command within the 1st Special Forces Command had previously been deployed in Operation
594320	601200	SNOCAP, a drug enforcement agency counter narcotics operation in 9 Latin American countries alongside
601200	606800	the US Navy SEALs. The Army 7th Special Forces Group has conducted foreign internal defense,
606800	611680	counter drug, and training missions in Central and South America. The 7th specializes in
611680	617760	unconventional warfare and direct action, special reconnaissance, counter proliferation of WMD,
617760	621600	or warheads of mass destruction, and security force assistance.
621600	626000	Why all this discussion of Green Berets and Special Operations Command units attached to
626000	631040	Laser Strike? Recall how quite often I discuss the involvement of Special Operations Command,
631040	636400	or their elite component command, JSOC, Joint Special Operations Command in UFO crash retrieval
636400	641360	operations. Well, this will all become apparent quite soon when discussing Wagan's retrieval
641360	646640	encounter. Up to his involvement in Laser Strike, Jonathan had no interest in the subject of UFOs,
646640	651440	but his worldview was somewhat shaken during his guard station performing perimeter security at
651440	656080	his Laser Strike radar installation. Wagan would state in the command center of the radar
656080	661440	installation he would overhear USAF personnel discussing aircraft tracked flying in and out
661440	667760	of the atmosphere at Mach 10 plus. I knew that these these aircraft were flying because I had been
667760	674080	in the command center there at the radar installation and I heard a couple women there in the Air Force
674080	680560	talking about aircraft flying in and out of the atmosphere at Mach 10 plus. So these aircraft
680560	684560	are flying around there, you know, they're re-entering the atmosphere or whatever they're
684560	688800	talking about. We got these aircraft flying again and the other girl says, yeah, you know,
688800	694080	they're coming in and out of the atmosphere. There's our stuff and so there's our aircraft,
694080	699360	and they're like, you know, I can't remember what she said. Wagan would even state an Air Force
699360	704240	Colonel would enter the command center about 30 minutes after this conversation and confiscate
704240	711840	logbooks tracking flight data. I'm not sure, but I think these logs did contain those tracks,
711840	716960	otherwise they wouldn't have taken them. And we're talking about, you know, there's hundreds,
716960	721600	thousands of aircraft flying through there, you know, weekly and all these logs, you know,
721600	725840	they're writing them in and, you know, and they're keeping their writing, you know, how many times
725840	730880	certain aircraft or they get certain vectors for aircraft that are supposed to be around it.
731520	736400	I mean, when you got, when you got objects that are re-entering the atmosphere and then stopping
736400	741920	on a dog and then turning around and going exactly the opposite direction, that's kind of strange.
741920	746240	Meteors don't do that. Oh, is this something that was rare or something that was happening?
746240	750640	Oh, this was happening all the time. There was like three or four incidents where I was duty there
750640	754160	that the same, the same Air Force officer came in there to give books.
755200	760000	And do you think these were tracked on to the freight arts? Yeah, these were tracked from this
760000	765760	particular radar that were logged in. The reason, I guess the reason they were taking them is they
765760	770720	didn't want people to know that they're tracking these aircraft. I guess, I mean, give us, I'm just
770720	776720	assuming that. One night while on guard duty at around 11 p.m. to midnight between April and March
776720	783040	1997, Wigant was approached by Staff Sergeant Monteligre, Sergeant Allen and Sergeant Adkins,
783040	787840	and told that there was a downed aircraft, possibly friendly, and that he and other Marines were
787840	793600	needed to secure the crash site. By three to four a.m., Jonathan, Adkins, and Allen were in the
793600	798880	vanguard of a group of Humvees among eight to 10 Marines sent to secure the crash area.
798880	803760	After a combination of driving and trekking through the jungle, the Marines reached the site around
803760	814400	six to seven a.m. And they, they came to us and said, look, you know, we got, we got a situation
814480	822720	where we, we have an aircraft crash that's possibly friendly and they need us to go and secure the
822720	828640	crash site and we're like fine. So this is early, this is late at night. I'm about 11 or 12 at night.
829280	834160	I was on guard duty that night. So I was already up and it was my shift. We have 12 hour shifts,
834160	842480	12 on, 12 off, and where we, where we rotate our section. So we all went out that night. We got up
843040	847360	I don't know, three or four in the morning and headed out in Humvees. We had about five or
847360	852320	six Hummers and we drove to where we needed to go. And then we, from there, you know, we had to
852320	858240	hump through the bush. So we got there, I don't know, six, seven, just, just one daylight had just
858240	864400	just started to get light. And well, we found the area really easy because there was a, there was a
864400	870960	huge gash in the land where, where something had crashed. And it, it didn't break anything. You
870960	875360	know, you know, I don't know if you've ever been to a crash site where, you know, you had, you know,
875360	880800	had trees, you know, just broken like, like in half. Everything was burned. And it was like,
880800	885440	like if you had almost cut like a warm butter with a knife, I mean, it was just,
886240	891280	it's like, it's, it's like something on fire or had energy or some kind of energy and like a laser
891280	896640	almost had, had like gutted. I mean, it was really strange. And anyway, I was, I was in the front
896640	902880	with Sergeant Allen and Sergeant Ankins. We were up front. And we were, we were point basically.
902880	907040	And we were like, I don't know, 10, 20 meters and head of everyone else. We had, we all had
907040	912240	maps and radios and compasses. So we knew so we wouldn't get lost. And basically, we were the
912240	919520	first ones to see the object. And basically what happened is we didn't go straight up the hill.
919520	924320	Because basically this thing went up the hill and then off into the side of the ravine of the
924320	930160	ridge. This is about a 200 foot ridge, at least solid granite. I mean, it's rock. I don't know
930160	936400	if it's granite. It was buried in the side of the cliff. But anyway, we didn't go straight up. We went
936400	942000	to the, to the, to all to the left and walked up to the top of the ridge. And that's when we saw the
942000	948640	craft. But I mean, it had landed and cut its way through the jungle and embedded itself in the,
948640	953040	in like a, I don't know what you would call it almost like a saddle or one of these kind of
953120	960240	foothills. It's kind of a ridge and it went into the side of it. And I can't remember how far from
960240	966960	the initial impact that when it landed, it actually physically hit the deck and then went in. I don't
966960	972800	know how far down it was. Yeah, yeah, man. It burned itself like into the deck, you know, like a foot
972800	978080	or two. I don't know. It was deep. The terrified and confused Marines climbed down the ridge to get
978080	983520	closer to this object with Waygant getting the closest of all the Marines. Waygant Allen and
983520	990320	Adkins observed a huge ship embedded at a 45 degree angle into the rocky cliff face. This is the
990320	997040	craft. This is pretty crude two dimensional drawing. But this is jungle here. And this was the craft
997040	1005520	and it was embedded in the rock like this. And I'm not sure if this tapered off or how it went.
1005520	1011120	But these right here are the hatches, these two objects here. This one was the one that was half
1011120	1015840	open. And you could see into it. But I mean, it was just black is like looking into a closet.
1018720	1023520	Damage I think from the missile. And these were these large vents, they look like they went into
1023520	1028800	the craft, but I couldn't tell. But I mean, it was a shadow. That was the only thing that really
1028800	1036160	cast a shadow. The rest of this was another thing was these vents cast to the shadow where you
