start	end	text
0	5640	It didn't start or end with Roswell. Throughout American and world history, there are numerous
5640	12020	encounters of UAP crash and crash retrieval efforts with credible paper trails and witnesses.
12020	19040	And sometimes, these trails get messy. Details, records, and facts of one case may be confused
19040	24080	with another, making it difficult to fully analyze the stories of these fascinating
24080	30880	retrieval efforts. This is especially true for two cases along the arid desert border of Texas and
30880	37160	Mexico. What's up guys, it's UAP GERP. Thank you so much for joining me today as we are going to
37160	44440	cover a region of Texas near the Texas-Mexico border named Del Rio that experienced not one,
44440	51120	but two alleged UFO crash and recovery operations during the 1950s. Over the years,
51120	57280	these two cases have almost molded into one, but due to their insanely interesting stories and
57280	63400	astonishing connections to ufology, each deserve to be analyzed with a critical lens. Are these
63400	68360	cases fact or fiction? Join me today as we investigate to find out.
68360	79680	In June of 2018, Dr. Eric Davis was interviewed by journalist George Knapp on Coast to Coast
79840	85920	AM. And yes, this is the same Eric Davis from the Wilson Davis memo whose scientific pedigree
85920	92080	cannot be understated. When the two legends of ufology begin discussing UFO reverse engineering
92080	98080	efforts, the doctor states, quote, Yeah, they've got, I would say, you know, if you're going to throw
98080	105680	your bets on Roswell, your bets really good. Del Rio, Texas, that was a 1950s case. That was
105680	111360	another one. And the other ones I won't bring up because those are still classified. Researching
111360	117200	the highly disputed MJ 12 documents leads us to another clue surrounding the Texas-Mexico border.
117920	122320	Following the description of the Roswell case in the Eisenhower briefing document,
122320	128560	the alleged MJ 12 document to brief the president incumbent highlights a case from the 6th of December
128880	136240	1950. This case saw a UFO of similar origin to Roswell impact the earth at high speeds
136240	142960	along the El Indio area of the Texas-Mexico border. The craft impacted at such high speeds,
142960	148400	it was nearly obliterated when the search team arrived. The recovered materials were transported
148400	155040	to the atomic energy commission facility at Sandia, New Mexico for study. Okay, pretty cut and dry,
155040	160560	right? El Indio is 75 miles southeast of Del Rio. So it makes sense to use this as a
160560	166960	reference point, right? But there is another case that occurred in 1955 that researchers
166960	173280	additionally use the Del Rio area as a reference point. The Colonel Robert Willingham crash retrieval
173280	179200	case near Langtree, Texas. There are a number of huge factors separating these cases we will cover
179280	185040	later in the video. But lack of study of these two cases has led to egregious misidentification
185040	189200	between the two. So let's take a step back and analyze each case.
193920	198560	Colonel Robert Burton Willingham served honorably in World War II in Korea.
198560	204160	His distinguished career saw him within the US Army, Air Force, Air Force Reserves,
204160	208560	and civilian air patrol. Serving in the US Air Force during Korea,
208560	212480	Willingham claims to have received a purple heart for his severe wounds suffered to his
212480	218560	leg and head when hit by a mortar shell and a foxhole. I use the word claims here very deliberately
