start	end	text
0	4600	The propulsion of these UFOs is unique,
4600	5860	their ability to hover,
5860	8960	their ability to accelerate very rapidly,
8960	12400	their ability to move at very high speeds,
12400	15160	very much higher than anything that we have achieved,
15160	17180	even with our supersonic aircraft.
17180	20420	All of these things, and particularly interestingly,
20420	22520	without sonic booms and the things that we don't
22520	24400	like about our supersonic aircraft,
24400	27360	all of these things indicate a type of propulsion,
27360	28640	which is unique.
28840	30800	Different than anything we know anything about,
30800	32560	and which would be a tremendous value
32560	34960	if we could develop it and use it.
34960	37520	That's the reason I feel with a number of others
37520	40440	who have studied it, that it is a subject
40440	44120	which deserves the highest type of scientific study
44120	45400	and at an early date.
45400	48320	The advantages to be gained are perfectly enormous.
48320	49720	And how long do you feel it will be
49720	52380	before we are flying in UFOs?
54240	56440	Well, this probably is a $64 question
56440	58360	without a question without.
58400	60400	I think it depends, a great deal,
60400	63120	on how rapidly we take them seriously
63120	66280	and how soon we really set up
68200	71000	a scientific study team to work on the subject.
72200	74520	This is where we push the laws of physics.
76200	78480	You see, the technology we make
78480	80840	is what makes the impossible possible.
82680	83880	And it doesn't stop there.
84680	88440	So far on this channel,
88440	90920	we have devoted entire investigations
90920	92720	towards Battelle Memorial Institute
92720	95200	and their possible work on shape memory alloys
95200	98680	recovered from the 1947 Roswell, New Mexico crash,
98680	100200	as well as Lockheed Martin
100200	102480	and their intimate decades long involvement
102480	104720	in UFO legacy programs.
104720	107640	After all, high profile US defense contractors
107640	110880	have for decades been accused of actively engaging
110880	112520	in material exploitation
112520	114480	and reverse engineering programs,
114480	117120	focused on technologies of unknown origin
117120	119080	in conjunction with various factions
119080	122440	within US government intelligence and military.
122440	124480	Overall, you know, the government
124480	126920	has been the custodian of a lot of this, right?
126920	128720	And they'll hand recede it out
128720	132520	to a clear defense contractor to do some analysis,
132520	135480	which I find highly unethical.
135480	137600	You have basically a sole source arrangement
137600	141600	and you allow certain private corporate elements
141640	144680	to look at this, develop a potential insight
144680	146880	and then sell it back to the government for profit.
146880	150000	And I think that's totally unethical.
150000	152120	Lockheed Martin and others do quite a bit of work,
152120	156760	both in our atmosphere, in space, and even underwater.
156760	161760	There are certain efforts to...
162360	163800	It's a tough question you ask.
163800	166560	I left the Air Force and was sent out to California
166560	170760	at that time to begin establishing my cover basis
170760	174120	as an independent contractor
174120	177640	so that I can serve what was coming down the line next for me.
177640	182640	And that is the path which led to the UAP subject.
183360	185240	These claims are not without merit
185240	186320	as since the inception
186320	188520	of the US military industrial complex,
188520	191080	private defense industry has worked in tandem
191080	192920	with military and intelligence
192920	195080	to bolster US military might
195080	199720	protected by waived, unacknowledged special access programs.
199720	202200	I have directly accused Lockheed Martin,
202200	206560	Patel, Boeing, SAIC, and many other private institutions
206560	208560	and semi-private institutions,
208560	212720	such as UARCs and FFRDCs possessing, experimenting with
212720	215120	and possibly successfully harnessing
215120	217240	non-human technologies.
217240	220720	Today, we focus our sights towards the US Aerospace
