start	end	text
0	5400	Well, I had contacted Admiral Bobby Ray Inman, who was the head of the National Security
5400	10320	Agency in the United States, deputy director at CIA, director of Naval Intelligence and
10320	16480	a variety of intelligence posts, a technologist and clearly someone that if this was really
16480	22520	accurate, that there really were UFOs and non-human intelligence around, this is a man
22520	23880	who had to know.
23880	28800	So I was able to contact him thanks to a contact through Admiral Lord Hill Norton here in the
28800	37200	U.K. and this conversation, he alarmingly not only indicated that these issues were covered
37200	40720	under national secrecy laws, but that the United States government did in fact have
40720	43640	possession of the hardware associated with this.
43640	45840	In other words, this was an actual physical phenomenon as to...
45840	47360	A craft, a spaceship.
47360	49720	Several of them, and they were in operational condition.
58800	87760	The paper incident we were involved in, we were just under a mile and a half of water
87760	89760	north Atlantic.
89760	92240	What had happened, they had picked up a...
92240	97200	There's a survey vehicle working in the north Atlantic that had picked up some radioactive
97200	98200	signal.
98200	104720	It was almost a perfect symmetric piece of metal with marking around the edge and it
104720	110600	was just a triangular shape, but no glass, nothing that would appear to be a hatch or
110600	114840	a cockpit of any type.
114840	121040	From Roswell in 1947 to Jake Barber in 2024, on this channel we have discussed extensively
121040	127120	UFO crash retrieval operations performed by UFO legacy programs involving the United States
127120	129080	Army and Air Force.
129080	133200	Over the past decades, these retrievals are alleged to have occurred over the continental
133200	139240	United States, Mexico, Peru, Vietnam, the former Soviet Union, China, and numerous lands
139240	140560	around the globe.
140560	145400	In several U.S. incidents, rapid reaction response teams are detailed to fly in via
145400	151160	helicopter, drive in via flatbed truck, or utilize any vehicle system to retrieve non-human
151160	157000	craft and transport them to clandestine above and below ground military installations.
157000	162120	But what about retrieval operations that must be conducted in the oceans of our planet?
162120	167760	What happens when UFOs crash into water or USOs, unidentified submerged objects must
167760	169040	be recovered?
169040	173640	How are such operations conducted in the most mysterious corners of our planet where only
173640	178080	roughly 26% of our oceans floors have been mapped?
178080	183160	This would of course require the most powerful seafaring military on the planet, the United
183160	188920	States Navy, and it's a measurable special access programs, internal intelligence offices,
188920	193880	corporate programs, and partnerships with shadowy U.S. intelligence apparatuses.
193880	199200	What does the Navy just retrieve UFO and USOs in our water, or do they, like many retrieval
199200	203720	instances we have covered on this channel involving the Army and Air Force, additionally
203720	209960	engage in storage, exploitation, and reverse engineering of technologies of unknown origin?
209960	215480	For this reason, I want to dive in and explore the modus operandi, operational history, and
215480	219960	key players in U.S. UFO Navy legacy programs.
219960	225360	On the research we will explore in this project, I theorize naval UFO programs can be delegated
225360	231560	to four major components of operation, monitor, collect, store, and exploit.
231560	235720	These operations are likely conducted out of the Office of Naval Research and Office
235720	241920	of Naval Intelligence in conjunction with U.S. Special Forces Command, SOCOM, shadowy intelligence
241920	246680	organizations like the highly secretive National Underwater Reconnaissance Office and Navy
246680	253960	Special Program, and involve U.S. naval stations like NAWC China Lake and NSWC Crane, while
253960	259680	engaging with defense contractors and FFRDCs such as Lockheed Martin for utilization of
259680	264320	their now-retired deep-submergence rescue vehicles Mystic and Avalon.
264320	269520	This investigation will explore in tremendous detail the three components of naval UFO programs
269520	275800	I outlined above, UFO and USO collection, NHI craft storage, and technologies of unknown
275800	278800	origin, TUO, exploitation.
278800	284580	One major cornerstone I theorize exists in naval UFO programs, monitor, will be largely
284580	286800	emitted from today's exploration.
