start	end	text
0	4880	When you hear of a program called the Off-World Technologies Division, you might think of the
4880	10000	U.S. Army's brief in-house group known as the Interplanetary Phenomenon Unit that analyzed UFOs
10000	15280	in the 1950s. Or maybe you think of the U.S. Air Force's foreign technology division initially
15280	20480	achieved by Colonel Philip J. Corso, who stated technology such as night vision and fiber optics
20480	26400	were reverse engineered for the 1947 Roswell, New Mexico crash. Whatever you think of when you
26480	31440	hear of the Off-World Technologies Division, there is a first-hand witness who can shed
31440	38080	light on this never-before-heard-of, non-human-intelligence technology exploitation program.
38080	43280	A witness whose claims can be backed by his U.S. Army Green Beret and Special Forces credentials
43280	48240	and verified placement where he claims this anomalous division is stored. It was within
48240	54080	this division stored at the Naval Surface Weapon Center in Crane, Indiana. Green Beret witness
54080	61120	R.A. observed recovered technology not made by human hands. Technology so profound,
61120	66560	strange, and advanced, it seemed the Navy and a certain private company's best and brightest
66560	72560	could not begin to comprehend this tech. What's going on guys, it's UAP Gerb, and thank you so
72560	78960	much for joining me today as we hear from for the first time ever, the first-hand witness testimony
79040	86000	of Special Forces member R.A. in his claims of an Off-World Technologies Division at the NSWC Crane.
86640	92160	R.A.'s testimony may reveal a disturbing and monumental UFO reverse engineering program
92160	97680	nestled within the Navy's premier special weaponry installation. Join me as we conduct an
97680	103680	astounding primary investigation into R.A. his claims and a private defense contractor likely
103680	107440	involved with UFO technology reverse engineering programs.
112080	118480	To start, who exactly is R.A. and why should his testimony be heard? R.A. is easily the most
118480	123200	accomplished and credentialed U.S. soldier I have ever had the pleasure of speaking to. R.A.
123200	129280	is a U.S. Army Special Forces operator, aka a Green Beret, who served within the first Special Forces
129280	135040	Airborne Command. He served as an 18 Bravo weapon sergeant, a key element to any Special Forces
135040	139360	division described by the U.S. Army as one of the most highly skilled soldiers in the world.
140080	145920	18 Bravos are tasked with operating and maintaining an array of weaponry, including small arms,
145920	152000	heavy weapons, bombs, and mines, communications equipment, and must be able to employ conventional
152000	157680	and unconventional warfare tactics, and guys this is key. Operate and maintain both allied
157680	162080	and foreign weaponry. His Special Forces accolades have been thoroughly vetted,
162080	167920	with R.A. providing a full list of his certifications as well as his DD 214. He also
167920	173920	completed SEAR, Survival Evasion Resistance and Escape High-Risk Training at Level C,
