start	end	text
0	6080	He called me on an open line out of the blue, and I could barely believe who he was.
6080	8560	His name was Nat Cobitz.
8560	15800	He was the US Navy's former longtime director of science and technology development.
15800	22760	Their chief R&D scientist, their chief geek for many years, for over 30 years.
22760	28040	He was a beautiful guy, and it was an act of courage on his part.
28200	30200	I remember one of the conversations I had with him was,
30200	31840	do you think there's any good reason?
31840	35640	Because this is the thing I wrestle with, and I know you do as well.
35640	37600	What's the dirty secret?
37600	39440	Why can't we know this?
39440	43440	You know, if the US has recovered technology, why can't we know?
43440	46480	And he hadn't been told that.
46840	51440	And he had that rigid doctrinaire thing about how he wasn't read into that part of it.
52000	54880	And that was a compartmentalized issue.
54880	56280	He wasn't entitled to know about.
56280	58920	What he told me was that he'd been told
58920	64240	that the United States had recovered multiple craft, multiple craft.
64240	67800	And he implied very strongly that Roswell and another case
67800	71680	I'm interested in, Aztec and Kingman, all real incidents.
73280	76000	It didn't start or end with Roswell.
76040	79960	On this channel, we have covered myriad of UFO crash retrieval cases
79960	84080	ranging from brief overviews to exhaustive, full investigations.
84400	86400	These cases differ greatly.
86400	91000	Some featuring a wealth of witnesses, paper trails or threads of investigation,
91000	97040	such as 1933 Magenta, Italy, 1965 Kexford, Pennsylvania, in 1953,
97040	101520	Kingman, Arizona, while other cases are plagued by a lack of witnesses,
101520	106440	controversy or incomplete investigation, such as 2008 Needles, California,
106440	111240	1950 El Indio, Texas or 1974 Koyame, Mexico.
111480	116440	There is one UFO crash retrieval case that seems to exist somewhere in the middle,
116440	122840	a case that is often overshadowed by the most infamous UFO crash retrieval case of all time,
122840	128680	1947's Roswell, that occurred just eight months after in northern New Mexico.
128680	133800	This case is marred by controversy, yet bolstered by tremendous investigation
133800	137160	and witness testimony, a case that has been debunked,
137160	141640	labeled as a hoax several times over, but yet still refuses to die.
141640	147640	The 25 March 1948 Aztec, New Mexico UFO crash retrieval.
147640	154280	This incident to me offers unbridled insights into the complexity of UFO crash retrieval,
