start	end	text
0	7000	We maintained our jets and we did emergency duty, you know, on 12-hour shifts.
7000	12000	Me and my guys, we were overnight, so we were 7pm to 7am.
12000	18000	And a routine night, it's hot out there, we're just hanging out near the Humvee,
18000	21000	probably in chairs or hanging out in the back.
21000	27000	We get a call on the radio that there's, you know, either unexplained
27000	32000	or unauthorized something about flare activity in the desert.
32000	37000	You know, maybe four, three to four miles out, maybe five.
37000	42000	We come over a hill, we're yanking the trailer behind us, you know,
42000	45000	maybe driving 30-35 miles an hour.
45000	51000	We come over a hill and all five of us see it.
51000	59000	It is a black, from that angle, equilateral triangle,
59000	66000	meaning all sides the same, with three white yellowish orbs in each corner.
66000	72000	And possibly some kind of venting on the sides,
72000	76000	but definitely rounded on the edges, not pointy.
76000	78000	That was there hanging in the sky.
78000	82000	I say hanging because there was enough wind for something even, you know,
82000	86000	I know aerodynamics, something that if it was thin enough,
86000	89000	maybe it could hover slightly.
89000	93000	So this is what it would look like if you were looking straight up at it.
93000	97000	Of course, that's not the angle, it was more, you know,
97000	98000	I don't want to use that.
98000	103000	A soup bowl going forward with no light emitting from here,
103000	110000	yellow, yellowish, whiteish,
110000	118000	or kind of like a ball sphere had been embedded into the underside.
118000	125000	Accompanying it, we're about 30 military-type dudes with black uniforms
125000	132000	and five to six can't remember exactly vehicles.
132000	142000	Look like F-150s, F-350s, the big trucks jacked up all black, all matte,
142000	146000	some with canopies, some with antennas.
146000	148000	This is all coming in a flash, right?
148000	151000	Within 30 seconds of coming down this hill.
151000	155000	The minute we came up over about half of them,
155000	159000	maybe 15 came running up the hill towards us,
160000	163000	V-formations with guns.
163000	168000	Yeah, right up harsh language.
168000	171000	Get your f***ing heads down, get your f***ing heads down.
171000	174000	Get your f***ing heads down.
174000	176000	You know, not shooting.
176000	177000	But looking like they're ready to.
177000	183000	You know, very close to our heads as if they didn't want us to look at anything.
183000	187000	We felt, my initial reaction was we f***ed up,
187000	190000	found something that we shouldn't be involved in
190000	195000	and I'm just going to comply because I'm scared.
195000	199000	On this channel, I investigate UFO whistleblowers,
199000	201000	UFO crash retrieval cases,
201000	206000	and UFO legacy program operations that exist somewhere between elements
206000	208000	of the United States Department of Defense,
208000	211000	intelligence communities, colossal defense contractors,
211000	214000	and semi-private R&D experts called
214000	217000	Federally-funded research and development centers.
217000	220000	One of my personal favorite topics to study
220000	223000	is the concept of alien reproduction vehicles.
