start	end	text
0	7080	What if I told you the terms we use every single day, UFO and UAP are limited and only
7080	10280	paint part of the picture according to the US government?
10280	15880	Would you be surprised to learn that UFO-UAP encompass only phenomena and transmedial craft
15880	19880	operating within Earth's atmosphere and under the planet's oceans?
19880	27160	In fact, the USG, particularly NORAD and the US Space Force, have an entirely different
27160	34480	designation for UFOs entering or leaving Earth's atmosphere, fast walkers and slow walkers.
34480	39880	Hey guys, it's UAPGurb, I'm back and as always thank you for returning to the channel.
39880	46560	Today we are going to go down the deep rabbit hole of space-bound UFOs known as fast walkers.
46560	51720	Too little the question is asked, how often are UFOs observed in outer space?
51720	58240	Well, the USG is clearly concerned about this question and has a storied history of investigating
58240	60240	fast walkers.
60240	64360	So let's get some terms out of the way and again, remember there is a distinction here
64360	65840	from UFO.
65840	70680	The Walker call sign describes objects entering or leaving Earth's atmosphere at variable
70680	72040	speeds.
72040	78320	Slow walker for low velocity objects and fast walkers, well, you guys can probably guess.
78320	82320	Today we are only going to focus on the latter, the fast walker.
82320	89240	This distinction is crucial as during an age of increasing, albeit surface level UFO transparency,
89240	95000	it allows the USG to avoid declassification slash Freedom of Information Act requests
95000	97840	for fast walkers and slow walkers.
97840	103960	In late 2023, John Greenwald of the Black Vault received a decisive and final response
103960	109640	to his countless FOIA requests on the term fast walkers and slow walkers.
109640	115000	This response came from the US Space Force, the famed USAF space division.
115000	121040	With this request, Greenwald sought any reports, information, detailed military info on this
121040	122040	topic.
122040	129360	In response, Space Force issued a full denial to divulge any material under FOIA, citing
129360	135480	exception one, as a denial to disclose which states quote, under criteria established by
135480	141000	an executive order to be kept secret in the interest of national defense or foreign policy.
141000	146160	But curiously, this wasn't actually the first time Greenwald was denied access to any information
146160	147840	on fast walker.
147840	155280	Ten years earlier in 2013, Greenwald submitted a similar request which was handled by USNorthcom,
155280	160520	the United States Northern Command which oversees NORAD, the North American Aerospace
160520	162600	Defense Command.
162600	165960	NORAD is headquartered at Space Force Base in Colorado.
165960	170360	I know this doesn't seem very important now, but keep NORAD in mind.
170360	176840	Anyways, Northcom and NORAD responded to Greenwald stating fast walker documentation is quote,
176840	184720	currently and properly classified, again by executive order 13526, quote, considered
184720	190920	critical to national defense or foreign policy and is thus controlled by the US government.
190920	194520	But there were two documents that were provided to Greenwald.
