start	end	text
0	4400	On June 5th, 2023, the now legendary debrief article titled,
4400	9040	Intelligence Officials Say U.S. Has Retrieved Craft of Non-Human Origin
9040	12880	by Leslie Keen and Ralph Blumenthal took the world by storm.
12880	16880	This article introduced the world to David Grush and solidified the fact
16880	20640	the USG is in possession of craft of non-human origin
20640	25760	and actively attempts crash retrieval and reverse engineering of these anomalous vehicles.
25840	31120	Within this article, one Carl Nell has mentioned, a now retired Army Colonel who worked with
31120	36560	Grush on the UAP Task Force. While Nell has one quote in this article supporting the assertions
36560	42800	of David Grush, he states an astounding fact, quote, his assertion concerning the existence
42800	48240	of a terrestrial arms race occurring subrosa over the past 80 years focused on reverse
48240	54640	engineering technologies of unknown origin is fundamentally correct, as is the indisputable
54640	60880	realization that at least some of these technologies of unknown origin derive from non-human intelligence.
61760	66800	Hey guys, it's UAP Gerb and today I wanted to do a quick video talking about Carl Nell
66800	73280	and his crucial role in UAP disclosure. The importance of Nell's data and position on UAP
73280	78960	as detailed in his recent Soul Foundation symposium talk simply cannot be understated.
79120	85600	Guys, you know me, this is not just a reaction video of Nell's 31 minute talk at the Soul
85600	89680	Foundation. I've already picked out all the important parts I want to discuss, made the
89680	94320	proper connections, and so let's go through it. I'm not here to waste your time. Let's start.
94880	99680	Before we break down Colonel Nell's speech on the Soul Foundation on the Schumer Amendment and
99680	105200	the push for controlled disclosure, let's quickly cover what exactly the Soul Foundation is.
105840	109920	The Soul Foundation is a group of scientists and academia folk,
109920	115040	military personnel, and government or policy makers that seek to educate the public on
115040	120720	academic legitimacy of UAP and push for a post-disclosure world. The Soul Foundation
120720	125760	includes figures whose credibility is beyond reproach, such as former depsec Christopher
125760	132400	Mellon, whistleblower David Grush, Stanford pathology professor Gary Nolan, PhD physicist
132400	139360	Kevin Knuth, Colonel Nell, and more. Nell spoke to the symposium in November 2023 at the Nolan
139360	144480	Laboratory of the Stanford School of Medicine, so let's break down and cover his key points.
144480	148480	If you have your finger on the pulse, you'll remember this speech happening and some apparent
148480	154080	leaked slides from his presentation, but it's not till February 2024 we've actually got to
154080	159600	see the whole presentation. Nell begins by breaking down the groundbreaking Schumer Amendment.
159680	164960	Well, 10 years ago, probably the Schumer Amendment would have been viewed as a UAP UFO disclosure.
165520	169920	I've talked about this piece of legislation at length in almost every single one of my videos,
169920	176640	but thankfully Nell provides a comprehensive summary of this legislation. He goes on to discuss
176640	181680	background to the UAP Disclosure Act, citing the importance of Leslie Keane's article that
181680	188480	appeared on the 16th of December, 2017, bringing FLIR, Gimbal, and GoFast to the public domains as a
188480	194480	major paradigm shift. Nell thanks Chris Mellon and Lou Elizondo for their tireless work to get
194480	200240	these videos released and move the ball forward on UAP. So certainly that was a key incident.
200240	208720	The next piece was, I would argue, the David Grush, Ryan Graves, David Fraver testimony
208720	215360	before Congress, again lowering the threshold of making this topic respectable and incentivizing
215360	220560	some discussion about it. Two of the legislators that sponsored this bill are in the Gang of Eight.
220560	224800	The Gang of Eight includes the leaders of each of the two parties from the Senate and House of
224800	229200	Representatives, and the chairs of the ranking minority members of both the Senate Committee
229200	234720	and the House Committee for Intelligence as set forth by the 50 USC purpose. Certain members
234720	240560	of Congress are legally entitled to hear about all information pertaining to SAPs and secret programs.
