start	end	text
0	7000	So that's the interesting thing. There's two nomenclatures that we need to define in what your whistleblowers told you goes into his report.
7000	11000	There's UAP and that's gray. We just don't know at this moment.
11000	27000	But Alien Reproduction Vehicle, I can tell you, is very, very clearly a reference to a vehicle that has been constructed from non-human technology that is being operated presumably by either private aerospace or the United States government.
27000	36000	A male staff member in Congressman Brown's office not only confirmed the exhibit, but the fact that there were three discs at that exhibit.
36000	45000	These discs were hovering off the floor without any visible means of support. They were referred to as Alien Reproduction Vehicles.
45000	49000	Also nicknamed the flux liner because they used high voltage electricity.
49000	59000	This general got up and he was describing these vehicles. He described them as Alien Reproduction Vehicles, ARB for short.
59000	69000	They also had a nickname for the aircraft. They called them flux liners. Now flux is an electrical term for a high electrical charge liner, a flux liner.
69000	79000	Brad said that in this exhibit at Norton Air Force Base that a three-star general said that these vehicles were capable of doing light speed or better.
79000	90000	In his groundbreaking article released in October of 2024, accomplished journalist Michael Schellenberger brought a new UAP whistleblower's testimony to the public zeitgeist.
90000	102000	This whistleblower uncovered the shadowy Immaculate Constellation, an unacknowledged special access program that consolidates observations of UAP by both tasked and untasked collection platforms.
102000	111000	The most groundbreaking aspect of this article to me was a single sentence mention of a term made famous by aerospace illustrator Mark McCandlish.
111000	121000	The report concludes that the existence of Immaculate Constellation demonstrates the extent capability to detect, quarantine and transfer, UAP and ARV.
121000	130000	Alien Reproduction Vehicle collection incidents before they are observed and circulated within the military intelligence enterprise.
130000	139000	Many are familiar with the famous Alien Reproduction Vehicles, also known as flux liners described by McCandlish as relayed by Brad Sorensen,
139000	150000	who allegedly witnessed these three saucer-shaped craft reverse engineered from non-human intelligence technology at a classified air show near Norton Air Force Base in 1988.
150000	160000	But what is the full story behind ARV? What is the origin of this term? And what stories can we explore to try and support or discredit Schellenberger's whistleblower?
160000	167000	Why the conspiracies around Mark McCandlish and his 2014 documentary filmmaker James Allen's mysterious deaths?
167000	181000	What can we learn from a truly consequential, long-form interview primary witness Brad Sorensen gave in 1990, which I believe is the only time he ever spoke about the air show outside of conversations with McCandlish?
181000	187000	And why did Brad Sorensen tell me that I was next if I investigated this story further?
187000	198000	Hey guys, it's UAP Gerb and thank you so very much for joining me as we investigate and take a deep dive into the subject of Alien Reproduction Vehicles as relayed by Mark McCandlish.
198000	211000	The concept of successfully reverse engineered UFO has perplexed me for many years and with the direct naming of ARV in the Immaculate Constellation article, I believe it is a perfect time to finally dive into this subject.
211000	219000	Let us analyze the testimony of the now infamous Mark McCandlish and explore all avenues of the Alien Reproduction Vehicle.
224000	234000	My name is Mark McCandlish and for the better part of the last 30 years I've been a conceptual artist, illustrator and designer, working predominantly for the aerospace and defense industries.
235000	260000	About 1988 I came into some information that indicated that the United States government was in possession of and operating a kind of anti-gravity technology through a system, an aircraft that was referred to as the flux liner or as the alien reproduction vehicle.
260000	270000	The late Mark McCandlish served as a highly decorated aerospace and aeronautical illustrator who devoted his talents to detailing sketches of advanced military and corporate projects.
270000	281000	Mark's client list was astounding including the US Air Force, Rockwell International, Boeing, Lockheed Martin, as well as respected publications such as Aviation Week and Popular Science.
282000	293000	Viewers of my channel may remember Mark for his appearance on Stephen Greer's 2001 National Press Club panel where he discussed the line art design of the alien reproduction vehicle aka flux liner.
293000	303000	But few understand the full story and depth to which McCandlish explored these anomalous vehicles, a depth which very well may have seen Mark meet his demise.
303000	318000	In the fall of 1988, McCandlish planned to attend an air show at Norton Air Force Base to network with military and government officials, as well as view new and innovative military aircraft with his good friend and fellow designer and inventor Brad Sorenson.
318000	329000	A short time before the show on November 12, 1988, Mark regrettably dropped out to finish some lucrative design work for popular science and left Brad to attend the air show with a client of his.
329000	343000	About a week after the show, Mark called his strangely absent friend, Brad, sounded off. On the phone, absent was his often animated personality. Brad told Mark he had seen something he probably shouldn't have.
359000	370000	I think I saw something I wasn't supposed to see. And I said, how's that possible? Everything that's at the air show is sent there and flown there with the intent to bring it on static display, especially for the public.
370000	381000	So how could you possibly see something that wasn't intended to be seen? He says, well, he says, I got him to see a display that was a little more exclusive.
381000	395000	Here is what Brad told Mark. Brad ultimately attended the air show with one of his clients described as a tall white man with glasses, an Italian sounding name, wealthy and a former secretary of defense or under secretary of defense.
395000	401000	Right around the time of the USAF Thunderbirds flyby at the air show, this individual issued Brad away from the main crowd.
