start	end	text
0	7000	I've been studying UFOs. I've been studying UFOs. Did you know there are UFOs out here flying around? Unidentified UFOs.
10000	12000	This would be the place for them, Southern California.
12000	18000	It could be aliens, it could be balloons, or it could be alien balloons.
19000	27000	President Obama says that there is footage and records of objects in the skies.
27000	34000	He's asked these unidentified aerial phenomenon and he says we don't know exactly what they are.
34000	36000	What do you think that it is?
36000	39000	I would ask him again. Thank you.
39000	45000	The reality of the unidentified aerial or submerged phenomena is not up for debate.
45000	52000	It is fact there are anomalous signatures that operate in our skies, oceans, and near-Earth orbit
52000	66000	that exhibit strange and astounding characteristics including instantaneous acceleration, hypersonic velocity, anti-gravity, low observability, and transmedial travel.
66000	74000	Whether you recognize the phenomena as non-human in origin, or believe that these signatures are advanced hidden human technology,
74000	79000	or any combination of these is up to you in all of these warrant future investigation.
79000	89000	But no matter what you believe, you cannot deny the UFO study is looked at with ridicule, disdain, laughter, and has historically been treated as a joke.
89000	97000	But where did this UFO stigma come from and why is studying anomalous signatures on this planet looked at as silly?
97000	103000	Why have civilian and military pilots historically been advised not to share UFO sightings,
103000	106000	fearing revocation of their flight status?
106000	112000	Why is serious scientific investigation into UFOs laughed at as seen as a fruitless venture?
112000	117000	There are three things about this whole thing, Tom, that no one can deny.
117000	121000	There are incontrovertible points, even the grossest skeptic can't deny.
121000	125000	The first of all is that the UFO reports not only exist but persist.
125000	129000	When I started with the Air Force, I thought that this was a fad and a few years would just disappear.
129000	137000	And it's global, we have reports now from 140 countries, practically as many countries as there are in the United Nations,
137000	142000	and the most important of these three things is that many, unfortunately not all,
142000	148000	but many of the reports come from highly, highly credible, technically trained people, you see.
148000	154000	I am UAP Curb, guys, and today I wanted to do a review on the history of the UFO stigma
154000	160000	and highlight how this narrative of UFO being nothing more than misidentified prosaic phenomena
160000	164000	and only studied by tin foil conspiracies and whack jobs,
164000	170000	has in fact been pushed and perpetrated by our own United States government.
174000	182000	We could realistically start with the 1946 Kenneth Arnold saucer sightings or the Roswell crash of 1947,
182000	186000	but you know me, let's start where our paper trail leads us.
186000	193000	So let's take a peek at the first official USG program, Investigating UFOs.
193000	198000	Project Sign began in 1948 and ran until 1949.
198000	202000	United States Air Force General Nathan Twinning established this project,
202000	209000	initially naming Sign Project Saucer due to Lieutenant General Twinning's assertion that flying discs are, quote,
209000	216000	real and not visionary or fictitious, as seen in this letter to AAF commanding General George Shlugen.
216000	224000	The written sign report states that some UFO reports present actual objects, but origins are undeterminable.
224000	228000	Edward J. Ruppelt, future director of Project Blue Book and Grudge,
228000	234000	claimed Sign endorsed the interplanetary explanation for some of the unexplained signed sightings.
234000	242000	If you know UAP Gerb, you know any official United States government UFO investigation can be traced to the DOE or parents,
242000	244000	the AEC, the Atomic Energy Commission.
244000	251000	Well, get this, all sign reports were required to be sent to the Army and Navy Research and Development Board,
251000	257000	the USAF Scientific Advisory Group and the Atomic Energy Commission.
257000	264000	The program was shut down in 1949 by General Hoyt Vandenberg for, quote, lack of proof,
264000	272000	but the next official investigation into UFOs was commissioned the exact same year.
272000	278000	Project Grudge ran throughout 1949 when it was officially terminated,
278000	286000	but Grudge records were updated up until 1999, featuring a full published report in 1960.
286000	293000	Reviewing the Grudge report is not the topic of this video, but seen as it is 707 pages of case analysis,
293000	298000	maybe I'll do a most interesting cases on Grudge reports video someday.
298000	307000	Anyways, USAF formed this program specifically intending to alleviate public anxiety over UFOs.
307000	314000	Here we can see the first real breadcrumbs of the USG trying to alter public perception of UFOs.
314000	323000	Grudge was tasked to explain sightings away as balloons, conventional aircraft, optical illusions, planets, mass hallucinations, etc.,
323000	329000	such as in the case of the Lubbock lights, where four engineering slash STEM professors in Lubbock, Texas,
329000	338000	witnessed multiple flights of 20 to 30 lights traveling at incredible speeds in a perfect semi-circle formation.
338000	342000	Grudge infers and marks this case down to a flock of migrating birds,
342000	348000	even though this explanation is unsubstantiated and not shared by the professor witnesses.
348000	354000	J. Allen Heineck, the future Blue Book scientific advisor, stated that Project Grudge was, quote,
354000	360000	less science and more of a public relations campaign.
360000	368000	In my association with Project Blue Book, I know very well that it was not a scientific project.
368000	374000	I also know that they never, never would notify the media when an interesting case came up.
374000	380000	They did everything they could to keep it down, so they definitely withheld information.
380000	386000	You know, when I first interviewed Allen years ago, there was a theory going around that anybody who saw a flying saucer
386000	390000	was probably be followed by swamp gas somewhere in Louisiana and didn't know what he or she was seeing.
390000	392000	We've had a lot of documentation since that time.
392000	397000	I think one of the main things that has come out here that Peter has done
397000	401000	is to substantiate the credibility of many of the civilians.
401000	409000	Now, Project Blue Book ran from 1952 to 1969 and is where the true UFO stigma was born.
409000	414000	Blue Book, of course, is the most well-known USG official UFO study
414000	419000	and was founded to determine if UFOs were in fact a threat to national security
419000	422000	and to scientifically analyze UFO data.
422000	430000	Fun fact, from 1952 to 1969, Blue Book analyzed 12,618 UFO reports,
430000	436000	701 of which were classified as unexplained after extensive analysis.
436000	442000	I've talked at length before about how J. Allen Heineck stated Blue Book was essentially a disinformation project
442000	448000	and a distraction tool used to cover up and gloss over the UFO issue.
448000	452000	We won't tread on Heineck too much, but who was Heineck?
